State_Name,District_Name,Center_Release_of_funds,State_Release_of_funds,Beneficiary_Release_of_funds,Total_Release_of_funds,Center_Expenditure_Reported,State_Expenditure_Reported,Beneficiary_Expenditure_Reported,Total_Expenditure_Reported
ANDHRA PRADHESH,ADILABAD,3334.50,1026.28,632.57,4993.35,2693.90,1026.28,619.96,4340.14
ANDHRA PRADHESH,ANANTAPUR,2213.51,1456.50,1331.82,5001.83,1242.57,1456.41,1325.30,4024.28
ANDHRA PRADHESH,CHITTOOR,3909.82,1329.78,532.18,5771.78,2315.79,1154.35,532.18,4002.32
ANDHRA PRADHESH,CUDDAPAH,2763.60,1332.29,1357.02,5452.91,1709.62,1332.00,796.67,3838.29
ANDHRA PRADHESH,EAST GODAVARI,5302.66,1886.72,1081.32,8270.70,4360.34,1886.62,1063.13,7310.09
ANDHRA PRADHESH,GUNTUR,3986.24,1783.72,698.21,6468.17,2694.55,1783.72,698.21,5176.49
ANDHRA PRADHESH,KARIMNAGAR,5602.87,2114.98,176.13,7893.98,5613.50,2110.98,176.13,7900.61
ANDHRA PRADHESH,KHAMMAM,2779.69,732.81,510.65,4023.15,2884.03,732.08,294.02,3910.13
ANDHRA PRADHESH,KRISHNA,3883.94,777.11,283.63,4944.68,2520.88,769.49,277.92,3568.30
ANDHRA PRADHESH,KURNOOL,4237.66,1719.21,573.55,6530.42,2303.28,1718.37,463.12,4484.77
ANDHRA PRADHESH,MAHBUBNAGAR,5863.24,1830.56,857.51,8551.31,3125.02,1212.27,857.51,5194.80
ANDHRA PRADHESH,MEDAK,4003.90,1742.50,569.91,6316.31,4136.63,1662.05,495.76,6294.44
ANDHRA PRADHESH,NALGONDA,2247.46,1390.03,663.87,4301.36,1854.21,658.21,479.15,2991.57
ANDHRA PRADHESH,NELLORE,3122.50,882.80,498.12,4503.42,1579.37,772.54,322.25,2674.16
ANDHRA PRADHESH,NIZAMABAD,1939.81,1210.88,2155.82,5306.51,2381.02,1151.40,317.81,3850.23
ANDHRA PRADHESH,PRAKASAM,4617.50,1000.81,199.74,5818.05,3441.91,999.93,198.88,4640.72
ANDHRA PRADHESH,RANGAREDDI,2979.96,1594.80,142.82,4717.58,1803.45,1590.10,128.32,3521.87
ANDHRA PRADHESH,SRIKAKULAM,3235.39,1183.51,113.87,4532.77,1468.12,674.56,113.86,2256.54
ANDHRA PRADHESH,VISAKHAPATNAM,3547.35,3980.80,432.83,7960.98,1706.87,3084.09,399.24,5190.20
ANDHRA PRADHESH,VIZIANAGARAM,2012.02,855.89,315.26,3183.17,1301.69,843.28,257.41,2402.37
ANDHRA PRADHESH,WARANGAL,2488.92,1044.29,184.76,3717.97,1501.47,547.57,184.76,2233.80
ANDHRA PRADHESH,WEST GODAVARI,4280.96,5850.00,1148.58,11279.54,3724.40,5437.70,1123.37,10285.47
ARUNACHAL PRADHESH,ANJAW,93.46,46.78,0.00,140.24,55.57,29.24,0.00,84.81
ARUNACHAL PRADHESH,CHANGLANG,446.15,96.22,38.47,580.84,316.16,73.38,38.47,428.01
ARUNACHAL PRADHESH,DIBANG VALLEY,58.87,24.62,4.16,87.65,37.45,12.45,3.58,53.49
ARUNACHAL PRADHESH,EAST KAMENG,266.78,92.23,8.84,367.85,185.21,43.96,8.84,238.01
ARUNACHAL PRADHESH,EAST SIANG,267.43,112.25,0.00,379.68,172.60,64.15,0.00,236.75
