State_Name,District_Name,Latitude,Longitude
ANDHRA PRADESH,ADILABAD,19.0667,78.5333
ANDHRA PRADESH,ANANTAPUR,14.6707094,77.5907443
ANDHRA PRADESH,CHITTOOR,13.5170963,79.1006738
ANDHRA PRADESH,CUDDAPAH,14.4673541,78.8241339
ANDHRA PRADESH,EAST GODAVARI,17.32125,82.0407137
ANDHRA PRADESH,GUNTUR,16.3066525,80.4365401
ANDHRA PRADESH,KARIMNAGAR,18.4385553,79.1288412
ANDHRA PRADESH,KHAMMAM,17.2472528,80.1514446
ANDHRA PRADESH,KRISHNA,16.4667,81.1333
ANDHRA PRADESH,KURNOOL,15.8281257,78.0372792
ANDHRA PRADESH,MAHBUBNAGAR,16.7416379,77.985961
ANDHRA PRADESH,MEDAK,18.05514,78.276031
ANDHRA PRADESH,NALGONDA,17.052389,79.2671809
ANDHRA PRADESH,NELLORE,14.4325987,79.776456
ANDHRA PRADESH,NIZAMABAD,18.6725047,78.1940866
ANDHRA PRADESH,PRAKASAM,15.7187931,79.5603439
ANDHRA PRADESH,RANGAREDDI,17.2031945,77.8367282
ANDHRA PRADESH,SRIKAKULAM,18.4,83.9
ANDHRA PRADESH,VISAKHAPATNAM,17.8868159,83.2184815
ANDHRA PRADESH,VIZIANAGARAM,18.3066576,83.3955506
ANDHRA PRADESH,WARANGAL,18.000055,79.588167
ANDHRA PRADESH,WEST GODAVARI,16.9174181,81.3399414
ARUNACHAL PRADESH,ANJAW,28.2179994,95.7277527
ARUNACHAL PRADESH,CHANGLANG,27.755861,96.621323
ARUNACHAL PRADESH,DIBANG VALLEY,28.8128767,96.1526985
ARUNACHAL PRADESH,EAST KAMENG,27.4231261,93.0175712
ARUNACHAL PRADESH,EAST SIANG,28.1097051,95.1432068
ARUNACHAL PRADESH,KURUNG KUMEY,27.85285,93.22288
ARUNACHAL PRADESH,LOHIT,28.0039651,96.2739116
ARUNACHAL PRADESH,LOWER DIBANG VALLEY,28.7390993,94.5695453
ARUNACHAL PRADESH,LOWER SUBANSIRI,27.6138852,93.8451731
ARUNACHAL PRADESH,PAPUM PARE,27.1719019,93.7029002
ARUNACHAL PRADESH,TAWANG,27.578366,91.876341
ARUNACHAL PRADESH,TIRAP,26.8942703,95.6407299
ARUNACHAL PRADESH,UPPER SIANG,28.7588781,95.2266675
ARUNACHAL PRADESH,UPPER SUBANSIRI,27.786802,94.3359634
ARUNACHAL PRADESH,WEST KAMENG,27.3427633,92.3024459
ARUNACHAL PRADESH,WEST SIANG,28.147254,93.7484518
ASSAM,BAGSHA,26.1006043,93.2375738
ASSAM,BARPETA,26.0301026,91.1322845
ASSAM,BONGAIGAON,26.374217,90.664452
ASSAM,CACHAR,24.8821253,93.0577105
ASSAM,CHIRANG,26.4386619,90.9939122
ASSAM,DARRANG,26.2943518,92.0881527
ASSAM,DHEMAJI,27.280511,94.649508
ASSAM,DHUBRI,25.919648,90.087751
ASSAM,DIBRUGARH,27.3728327,95.0119621
ASSAM,GOALPARA,26.0667,90.7167
ASSAM,GOLAGHAT,26.408961,94.169543
ASSAM,HAILAKANDI,24.482906,92.9641799
ASSAM,JORHAT,26.65602,94.40945
ASSAM,KAMRUP,25.9802867,91.6596117
ASSAM,KARBI ANGLONG,25.6653667,93.2585038
ASSAM,KARIMGANJ,24.26434,92.557277
ASSAM,KOKRAJHAR,26.3014362,90.266699
ASSAM,LAKHIMPUR,27.0316353,94.3899911
ASSAM,MARIGAON,26.152126,92.4423769
ASSAM,NAGAON,26.25037,92.7922529
ASSAM,NALBARI,26.342907,91.541039
ASSAM,NORTH CACHAR HILLS,25.2478004,93.1175712
ASSAM,SIBSAGAR,26.8833,94.7333
ASSAM,SONITPUR,26.6676391,92.8785641
ASSAM,TINSUKIA,27.389464,95.460144
ASSAM,UDALGURI,26.5460177,92.3959429
BIHAR,ARARIA,25.9346339,87.464399
BIHAR,ARWAL,25.0440189,84.6662199
BIHAR,AURANGABAD,24.54839,84.3766628
BIHAR,BANKA,24.6833,86.9167
BIHAR,BEGUSARAI,25.4167,86.1333
BIHAR,BHAGALPUR,25.04003,86.984512
BIHAR,BHOJPUR,25.266155,84.5222189
BIHAR,BUXAR,25.2647103,83.9777482
BIHAR,DARBHANGA,25.949179,85.890587
BIHAR,GAYA,24.5800113,84.9818234
BIHAR,GOPALGANJ,26.2667,84.4333
BIHAR,JAMUI,24.72326,86.220238
BIHAR,JEHANABAD,25.0166667,84.9833333
BIHAR,KAIMUR(BHABUA),24.841734,83.61275
BIHAR,KATIHAR,25.33754,87.566093
BIHAR,KHAGARIA,25.3111515,86.476908
BIHAR,KISHANGANJ,26.1077923,87.7763333
BIHAR,LAKHISARAI,24.971709,86.1038889
BIHAR,MADHEPURA,25.7169444,86.9786111
BIHAR,MADHUBANI,26.1468544,86.0715474
BIHAR,MUNGER,25.07262,86.490321
BIHAR,MUZAFFARPUR,25.9208876,85.3647201
BIHAR,NALANDA,24.998009,85.521896
BIHAR,NAWADA,24.6833,85.5333
BIHAR,PASHCHIM CHAMPARAN,27.0590444,84.2180642
BIHAR,PATNA,25.41046,85.1416669
BIHAR,PURBA CHAMPARAN,26.4098139,84.8567932
BIHAR,PURNIA,25.58,87.47
BIHAR,SAHARSA,25.6833,86.6
BIHAR,SAMASTIPUR,25.6629679,85.7810263
BIHAR,SARAN,25.8502233,84.6250199
BIHAR,SASARAM(ROHTAS),24.75,84.0333
BIHAR,SHEIKHPURA,24.9416937,85.8628915
BIHAR,SHEOHAR,26.316667,85.2999999
BIHAR,SITAMARHI,26.39807,85.495323
BIHAR,SIWAN,26.01991,84.357964
BIHAR,SUPAUL,26.1083333,86.6011111
BIHAR,VAISHALI,25.8038178,85.0817825
CHHATTISGARH,BASTAR(JAGDALPUR),18.883537,81.827626
CHHATTISGARH,BILASPUR,22.0796251,82.1391412
CHHATTISGARH,DANTEWADA,18.9,81.35
CHHATTISGARH,DHAMTARI,20.7072,81.5497
CHHATTISGARH,DURG,21.489367,81.283039
CHHATTISGARH,JANJGIR - CHAMPA,21.9783936,82.6483442
CHHATTISGARH,JASHPUR,22.68432,83.843527
CHHATTISGARH,KANKER,20.2719,81.4931
CHHATTISGARH,KAWARDHA(KABIRDHAM),21.91045,81.438068
CHHATTISGARH,KORBA,22.347979,82.7003999
CHHATTISGARH,KORIYA,23.2192835,82.5080666
CHHATTISGARH,MAHASAMUND,21.10718,82.0977939
CHHATTISGARH,RAIGARH,21.995667,83.295245
CHHATTISGARH,RAIPUR,21.2513844,81.6296413
CHHATTISGARH,RAJNANDGAON,21.0971034,81.0302222
CHHATTISGARH,SURGUJA,23.3437983,83.2960423
D & N HAVELI,DADRA AND NAGAR HAVELI,19.9808672,72.9169134
GOA,NORTH GOA,15.5093316,73.7089498
GOA,SOUTH GOA,15.1596785,73.97701
GUJARAT,AHMEDABAD,23.2395677,72.5660045
GUJARAT,AMRELI,21.802871,71.21817
GUJARAT,ANAND,22.760869,72.9547729
GUJARAT,BANAS KANTHA,24.1070289,72.3514618
GUJARAT,BHARUCH,21.9246442,73.0022939
GUJARAT,BHAVNAGAR,22.1744725,72.0419304
GUJARAT,DAHOD,22.7323,73.953464
GUJARAT,DANGS,20.6836638,73.4477857
GUJARAT,GANDHINAGAR,23.4248196,72.8463769
GUJARAT,JAMNAGAR,22.3707019,70.05773
GUJARAT,JUNAGADH,21.722184,70.4578768
GUJARAT,KACHCHH,23.8337326,69.8597406
GUJARAT,KHEDA,22.945977,72.6812889
GUJARAT,MAHESANA,23.6879607,72.0693252
GUJARAT,NARMADA,21.9511746,73.7007088
GUJARAT,NAVSARI,21.151851,73.121463
GUJARAT,PANCH MAHALS,23.0208623,73.5477857
GUJARAT,PATAN,23.950809,71.814838
GUJARAT,PORBANDAR,21.8417069,69.6292654
GUJARAT,RAJKOT,22.5038945,70.8021599
GUJARAT,SABAR KANTHA,23.8843587,72.7821623
GUJARAT,SURAT,21.395,72.819444
GUJARAT,SURENDRANAGAR,22.9288036,71.6258023
GUJARAT,VADODARA,22.5073095,73.1810976
GUJARAT,VALSAD,20.910069,72.925858
HARYANA,AMBALA,30.3781788,76.6766974
HARYANA,BHIWANI,28.7990445,75.9335112
HARYANA,FARIDABAD,28.3089123,77.2177894
HARYANA,FATEHABAD,29.513439,75.25311
HARYANA,GURGAON,28.3594965,76.8266383
HARYANA,HISAR,29.1491875,75.5216527
HARYANA,JHAJJAR,28.59886,76.454182
HARYANA,JIND,29.3167,76.1167
HARYANA,KAITHAL,29.795441,76.199269
HARYANA,KARNAL,29.6856929,76.7904825
HARYANA,KURUKSHETRA,29.9695121,76.578282
HARYANA,MAHENDRAGARH,28.262109,75.955627
HARYANA,MEWAT,27.9690426,77.0024902
HARYANA,PANCHKULA,30.7942091,76.860565
HARYANA,PANIPAT,29.39,76.77
HARYANA,REWARI,28.18811,76.411542
HARYANA,ROHTAK,28.892361,76.39124
HARYANA,SIRSA,29.5333,74.8167
HARYANA,SONIPAT,29.0285745,76.7914935
HARYANA,YAMUNANAGAR,30.032971,76.887784
HIMACHAL PRADESH,BILASPUR,31.5454488,76.9596221
HIMACHAL PRADESH,CHAMBA,32.9533633,76.3258083
HIMACHAL PRADESH,HAMIRPUR,32.0911745,76.5193092
HIMACHAL PRADESH,KANGRA,32.5,76.47
HIMACHAL PRADESH,KINNAUR,31.8509575,78.3751945
HIMACHAL PRADESH,KULLU,32.157851,77.3094597
HIMACHAL PRADESH,LAHAUL & SPITI,32.6510792,77.4979771
HIMACHAL PRADESH,MANDI,31.9081655,76.9313675
HIMACHAL PRADESH,SHIMLA,31.3046052,77.3734242
HIMACHAL PRADESH,SIRMAUR,30.7258327,77.3864879
HIMACHAL PRADESH,SOLAN,31.10396,77.096943
HIMACHAL PRADESH,UNA,31.668445,76.4707745
JAMMU & KASHMIR,ANANTNAG,34.0325546,75.2703752
JAMMU & KASHMIR,BANDIPORA,34.823415,74.442326
JAMMU & KASHMIR,BARAMULLA,34.611475,74.143896
JAMMU & KASHMIR,BUDGAM,34.3348549,74.4400432
JAMMU & KASHMIR,DODA,33.54647,75.348867
JAMMU & KASHMIR,JAMMU,33.1266016,74.6570259
JAMMU & KASHMIR,KARGIL,34.940874,75.038442
JAMMU & KASHMIR,KATHUA,32.767966,75.323478
JAMMU & KASHMIR,KISHTWAR,33.712285,75.673367
JAMMU & KASHMIR,KULGAM,33.8451269,74.7185004
JAMMU & KASHMIR,KUPWARA,34.92682,74.058639
JAMMU & KASHMIR,LEH (LADAKH),34.5319397,77.2787563
JAMMU & KASHMIR,POONCH,34.174655,73.893469
JAMMU & KASHMIR,PULWAMA,34.2716117,74.8945692
JAMMU & KASHMIR,RAJAURI,33.782898,74.09102
JAMMU & KASHMIR,RAMBAN,33.641081,75.038165
JAMMU & KASHMIR,REASI,33.482804,74.633314
JAMMU & KASHMIR,SAMBA,32.9530092,74.9107526
JAMMU & KASHMIR,SHOPIAN,34.0252579,74.527701
JAMMU & KASHMIR,SRINAGAR,34.5836581,74.8993681
JAMMU & KASHMIR,UDHAMPUR,33.31893,74.931271
JHARKHAND,BOKARO,23.590791,86.013154
JHARKHAND,CHATRA,24.004235,84.870937
JHARKHAND,DEOGHAR,24.1833,86.7
JHARKHAND,DHANBAD,23.5956531,86.4303859
JHARKHAND,DUMKA,24.0667,87.25
JHARKHAND,GARHWA,23.9722222,83.8086111
JHARKHAND,GIRIDIH,23.979741,86.302231
JHARKHAND,GODDA,24.6277778,87.3113889
JHARKHAND,GUMLA,22.8474,84.54207
JHARKHAND,HAZARIBAGH,23.796,85.371017
JHARKHAND,JAMTARA,23.843871,86.83255
JHARKHAND,KHUNTI,22.77689,85.280647
JHARKHAND,KODERMA,24.168076,85.591629
JHARKHAND,LATEHAR,23.5438049,84.504337
JHARKHAND,LOHARDAGA,23.2333,84.6833
JHARKHAND,PAKUR,24.4380556,87.6469443
JHARKHAND,PALAMU,23.9286106,84.1857115
JHARKHAND,PASCHIM SINGHBHUM,22.2625369,85.520024
JHARKHAND,PURBI SINGHBHUM,22.3735219,86.3376761
JHARKHAND,RAMGARH,23.3283333,85.6211111
JHARKHAND,RANCHI,23.1440997,85.309562
JHARKHAND,SAHIBGANJ,24.945118,87.534182
JHARKHAND,SERAIKELA KHARSAWAN,22.6561261,86.0121573
JHARKHAND,SIMDEGA,22.409739,84.503807
KARNATAKA,BAGALKOT,16.385011,75.6962429
KARNATAKA,BANGALORE RURAL,13.3985371,77.5994197
KARNATAKA,BANGALORE URBAN,13.1226281,77.4077865
KARNATAKA,BELGAUM,16.1667,74.6
KARNATAKA,BELLARY,15.23854,76.6187319
KARNATAKA,BIDAR,17.92,77.219722
KARNATAKA,BIJAPUR,17.02402,75.71534
KARNATAKA,CHAMARAJANAGAR,12.2261471,76.9437312
KARNATAKA,CHICKMAGALUR,13.611821,75.770385
KARNATAKA,CHIKBALLAPUR,13.72608,77.730401
KARNATAKA,CHITRADURGA,14.52209,76.40036
KARNATAKA,DAVANGERE,14.7663438,75.9238397
KARNATAKA,DHARWAD,15.765067,75.0034809
KARNATAKA,GADAG,15.72878,75.631279
KARNATAKA,GULBARGA,17.629731,76.8342956
KARNATAKA,HASSAN,13.3068142,76.0995519
KARNATAKA,HAVERI,15.1,75.4
KARNATAKA,KODAGU,12.6374942,75.8069082
KARNATAKA,KOLAR,13.4357446,78.0325611
KARNATAKA,KOPPAL,15.6507081,76.1554311
KARNATAKA,MANDYA,12.7241667,76.7958333
KARNATAKA,MANGALORE(DAKSHINA KANNADA),13.2141417,74.8559568
KARNATAKA,MYSORE,12.503534,76.44611
KARNATAKA,RAICHUR,16.50702,76.954362
KARNATAKA,RAMANAGARA,12.91454,77.076718
KARNATAKA,SHIMOGA,14.2299299,75.568101
KARNATAKA,TUMKUR,13.64,77.1
KARNATAKA,UDUPI,13.63232,74.746048
KARNATAKA,UTTAR KANNADA,15.0092298,74.7805192
KERALA,ALAPPUZHA,9.5980667,76.5388484
KERALA,ERNAKULAM,10.31486,76.3034669
KERALA,IDUKKI,10.1478859,76.8808677
KERALA,KANNUR,12.1763372,75.375156
KERALA,KASARGOD,12.59247,74.990623
KERALA,KOLLAM,9.28,76.8
KERALA,KOTTAYAM,9.8987204,76.3288966
KERALA,KOZHIKODE,11.5587531,75.78041
KERALA,MALAPPURAM,11.1667,75.9667
KERALA,PALAKKAD,11.0867303,76.4547932
KERALA,PATHANAMTHITTA,9.6647582,76.9870414
KERALA,THIRUVANANTHAPURAM,8.8874949,76.948623
KERALA,THRISSUR,10.7276416,76.1144349
KERALA,WAYANAD,12.0094457,75.795537
MADHYA PRADESH,ALIRAJPUR,22.1053,74.3524999
MADHYA PRADESH,ANUPPUR,22.901645,81.697937
MADHYA PRADESH,ASHOKNAGAR,24.3775148,77.7318495
MADHYA PRADESH,BALAGHAT,21.612876,80.1838293
MADHYA PRADESH,BARWANI,21.83302,74.895866
MADHYA PRADESH,BETUL,21.703865,77.903453
MADHYA PRADESH,BHIND,26.3642,78.6883
