State_Name,District_Name,Project_Objectives_IHHL_BPL,Project_Objectives_IHHL_APL,Project_Objectives_IHHL_TOTAL,Project_Objectives_SCW,Project_Objectives_School_Toilets,Project_Objectives_Anganwadi_Toilets,Project_Objectives_RSM,Project_Objectives_PC,Project_Performance-IHHL_BPL,Project_Performance-IHHL_APL,Project_Performance-IHHL_TOTAL,Project_Performance-SCW,Project_Performance-School_Toilets,Project_Performance-Anganwadi_Toilets,Project_Performance-RSM,Project_Performance-PC
ANDHRA PRADHESH,ADILABAD,247475,148181,395656,0,4462,427,10,0,176642,52431,229073,0,5030,427,0,0
ANDHRA PRADHESH,ANANTAPUR,363314,181335,544649,0,3421,284,10,0,366557,42000,408557,0,4258,302,0,0
ANDHRA PRADHESH,CHITTOOR,296465,236986,533451,0,8171,375,10,0,271890,193590,465480,0,8171,375,11,0
ANDHRA PRADHESH,CUDDAPAH,251653,251610,503263,0,6802,277,10,0,241228,125493,366721,0,5431,277,0,0
ANDHRA PRADHESH,EAST GODAVARI,370255,191400,561655,50,7004,1164,10,0,349876,191400,541276,49,7004,781,20,0
ANDHRA PRADHESH,GUNTUR,370996,319053,690049,0,5346,215,10,0,270343,85950,356293,0,5116,215,37,0
ANDHRA PRADHESH,KARIMNAGAR,365267,219763,585030,0,5848,298,10,0,381686,63025,444711,0,6148,425,13,0
ANDHRA PRADHESH,KHAMMAM,189225,4860,194085,0,6318,521,10,0,200555,4870,205425,0,6318,521,15,10
ANDHRA PRADHESH,KRISHNA,351572,175991,527563,17,3374,62,10,0,320082,104197,424279,8,3374,171,40,0
ANDHRA PRADHESH,KURNOOL,383478,129956,513434,0,4669,2111,10,0,324295,174773,499068,13,4669,252,49,0
ANDHRA PRADHESH,MAHBUBNAGAR,418559,66032,484591,3,5433,357,10,0,244104,263280,507384,9,5434,357,15,0
ANDHRA PRADHESH,MEDAK,311743,96490,408233,50,5446,1873,10,0,311591,47977,359568,16,4752,1049,10,0
ANDHRA PRADHESH,NALGONDA,215058,156761,371819,0,6628,44,10,0,235390,87693,323083,0,6527,788,10,10
ANDHRA PRADHESH,NELLORE,226725,116678,343403,0,6415,1396,10,0,170494,19462,189956,0,5839,476,0,0
ANDHRA PRADHESH,NIZAMABAD,225519,9474,234993,0,2477,32,10,0,225519,64759,290278,0,2477,32,36,0
ANDHRA PRADHESH,PRAKASAM,386617,193493,580110,0,7224,780,10,0,307890,143248,451138,0,7234,770,41,0
