State_Name,District_Name,Census_2001_Total_Rural_Households,Census_2011_Total_Rural_Households,Census_2001_IHHL,Census_2011_IHHL,C2011/TRH2011-C2001/TRH2001
ANDHRA PRADESH,ADILABAD,387003,473949,44311,65289,0.023257508
ANDHRA PRADESH,ANANTAPUR,598393,698439,70929,153780,0.101644239
ANDHRA PRADESH,CHITTOOR,675267,727635,94962,142429,0.055113553
ANDHRA PRADESH,CUDDAPAH,461812,475919,77225,135062,0.116570263
ANDHRA PRADESH,EAST GODAVARI,922803,1063044,231280,499628,0.219369772
ANDHRA PRADESH,GUNTUR,783815,877109,199735,408253,0.210628821
ANDHRA PRADESH,KARIMNAGAR,673146,746956,107825,255524,0.18190638
ANDHRA PRADESH,KHAMMAM,478465,578490,87256,216183,0.191335698
ANDHRA PRADESH,KRISHNA,699647,754361,233301,423638,0.228129936
ANDHRA PRADESH,KURNOOL,546115,630786,86436,174207,0.117900131
ANDHRA PRADESH,MAHBUBNAGAR,658015,750446,85960,134686,0.048839286
ANDHRA PRADESH,MEDAK,452779,511576,71449,162523,0.159889776
ANDHRA PRADESH,NALGONDA,642442,720569,107110,230023,0.152500891
ANDHRA PRADESH,NELLORE,509791,567914,87984,144760,0.082309374
ANDHRA PRADESH,NIZAMABAD,400999,462799,63145,136076,0.136559072
ANDHRA PRADESH,PRAKASAM,609893,692542,93185,193809,0.127062523
ANDHRA PRADESH,RANGAREDDI,325598,352247,84375,153274,0.175993596
ANDHRA PRADESH,SRIKAKULAM,533039,580048,47635,74367,0.038843412
ANDHRA PRADESH,VISAKHAPATNAM,535343,583474,68708,124676,0.085334874
ANDHRA PRADESH,VIZIANAGARAM,427520,475145,34909,50645,0.024933856
ANDHRA PRADESH,WARANGAL,597190,652254,89391,193970,0.147698118
ANDHRA PRADESH,WEST GODAVARI,757143,870607,233584,512818,0.280527895
ARUNACHAL PRADESH,ANJAW,N/A,4060,0,1123,N/A
ARUNACHAL PRADESH,CHANGLANG,21015,24444,9050,15970,0.222685283
ARUNACHAL PRADESH,DIBANG VALLEY,9372,1297,4181,839,0.200761319
ARUNACHAL PRADESH,EAST KAMENG,8821,11078,2449,2442,-0.057196019
ARUNACHAL PRADESH,EAST SIANG,2889,12904,1986,6119,-0.21324105
ARUNACHAL PRADESH,KURUNG KUMEY,N/A,15417,0,3627,N/A
ARUNACHAL PRADESH,LOHIT,21300,22412,8180,11087,0.110652786
ARUNACHAL PRADESH,LOWER DIBANG VALLEY,N/A,8626,0,4143,N/A
ARUNACHAL PRADESH,LOWER SUBANSIRI,17902,12066,8616,8211,0.199220203
ARUNACHAL PRADESH,PAPUM PARE,10900,13537,6114,7413,-0.013307178
ARUNACHAL PRADESH,TAWANG,6960,7891,5557,5480,-0.103957495
ARUNACHAL PRADESH,TIRAP,14846,15458,6355,13235,0.428129538
ARUNACHAL PRADESH,UPPER SIANG,6647,5652,1899,3183,0.277470688
ARUNACHAL PRADESH,UPPER SUBANSIRI,8086,12952,4116,4455,-0.165065627
ARUNACHAL PRADESH,WEST KAMENG,12882,12542,5055,4876,-0.003634291
ARUNACHAL PRADESH,WEST SIANG,13928,15387,9985,10936,-0.006171369
ASSAM,BAGSHA,N/A,188191,0,72803,N/A
ASSAM,BARPETA,268986,306688,190588,213994,-0.01078447
ASSAM,BONGAIGAON,146134,124874,65431,61405,0.043989081
ASSAM,CACHAR,234314,299194,182908,232066,-0.004973422
ASSAM,CHIRANG,N/A,89657,0,21494,N/A
ASSAM,DARRANG,258997,175393,120945,83453,0.008831241
ASSAM,DHEMAJI,89385,119112,31371,48003,0.052042327
ASSAM,DHUBRI,262518,370734,119216,144461,-0.064462921
ASSAM,DIBRUGARH,182232,218256,133108,161992,0.011779444
ASSAM,GOALPARA,134173,168874,82698,104937,0.005038767
ASSAM,GOLAGHAT,165766,202469,101692,131864,0.037812772
ASSAM,HAILAKANDI,89192,133055,71986,108979,0.01196195
ASSAM,JORHAT,157438,181811,93180,107081,-0.002883266
ASSAM,KAMRUP,286343,274590,155852,156599,0.026016874
ASSAM,KARBI ANGLONG,125488,152873,53477,74151,0.05889738
ASSAM,KARIMGANJ,166263,223720,141643,187335,-0.014557685
ASSAM,KOKRAJHAR,161332,168278,32373,41904,0.048355759
ASSAM,LAKHIMPUR,143781,181790,77547,97627,-0.002309341
ASSAM,MARIGAON,125505,169007,66198,96614,0.044203706
ASSAM,NAGAON,359102,480208,265792,345629,-0.020408867
ASSAM,NALBARI,197966,137639,102544,87643,0.118771993
ASSAM,NORTH CACHAR HILLS,25728,29499,11354,16843,0.129659428
ASSAM,SIBSAGAR,185287,220760,128131,158805,0.027828663
ASSAM,SONITPUR,279462,346401,156319,190422,-0.009641404
ASSAM,TINSUKIA,174781,209603,129451,162008,0.032281002
ASSAM,UDALGURI,N/A,159630,0,66168,N/A
BIHAR,ARARIA,391605,529611,22000,35259,0.010396221
BIHAR,ARWAL,N/A,109546,0,24653,N/A
BIHAR,AURANGABAD,265821,351828,43201,60345,0.00899933
BIHAR,BANKA,273609,366656,22999,40569,0.026588039
BIHAR,BEGUSARAI,402390,488062,87731,124302,0.036660054
BIHAR,BHAGALPUR,346116,458960,62725,115122,0.069606947
BIHAR,BHOJPUR,288634,357782,39691,73342,0.067477496
BIHAR,BUXAR,178097,236453,23179,47387,0.070259514
BIHAR,DARBHANGA,590411,732270,108176,153287,0.026109739
BIHAR,GAYA,453458,603194,69424,99305,0.011532868
BIHAR,GOPALGANJ,308465,396391,29332,71559,0.085436094
BIHAR,JAMUI,220811,283684,22633,33712,0.016337029
BIHAR,JEHANABAD,221069,159632,51693,35536,-0.011219963
BIHAR,KAIMUR(BHABUA),179499,235155,19717,34049,0.034949236
BIHAR,KATIHAR,420163,563679,44047,71443,0.021910998
BIHAR,KHAGARIA,220440,312199,33671,67785,0.06437662
BIHAR,KISHANGANJ,231736,304695,11358,18752,0.012530841
BIHAR,LAKHISARAI,114303,140728,19384,37717,0.098429122
BIHAR,MADHEPURA,257069,383792,22332,43560,0.02662736
BIHAR,MADHUBANI,648258,871575,84580,150357,0.042039088
BIHAR,MUNGER,150260,193801,28885,50489,0.06828635
BIHAR,MUZAFFARPUR,605017,859579,98634,188473,0.056235164
BIHAR,NALANDA,329029,411602,72141,93939,0.008973524
BIHAR,NAWADA,247648,313669,38385,54368,0.018330987
BIHAR,PASHCHIM CHAMPARAN,476614,635151,35333,73088,0.040938483
BIHAR,PATNA,430384,544392,112470,150106,0.014406688
BIHAR,PURBA CHAMPARAN,613045,913167,61652,141111,0.053962395
BIHAR,PURNIA,454113,576602,38177,49871,0.002421818
BIHAR,SAHARSA,253270,339776,25644,42377,0.023468775
BIHAR,SAMASTIPUR,573086,822111,79618,139638,0.030924438
BIHAR,SARAN,446962,585844,60825,104571,0.042410929
BIHAR,SASARAM(ROHTAS),302814,387316,48903,81750,0.04957279
BIHAR,SHEIKHPURA,71765,86465,14269,21004,0.044089587
BIHAR,SHEOHAR,103405,143121,12670,28267,0.074976286
BIHAR,SITAMARHI,523570,696184,79230,130062,0.03549483
BIHAR,SIWAN,374715,516701,49238,104557,0.070953742
BIHAR,SUPAUL,296905,420420,20775,38213,0.020920564
BIHAR,VAISHALI,395451,595165,66869,148682,0.080720898
CHHATTISGARH,BASTAR(JAGDALPUR),231015,265210,10756,37885,0.096289316
CHHATTISGARH,BILASPUR,321015,475742,18941,79176,0.107422867
CHHATTISGARH,DANTEWADA,133270,92379,5606,7862,0.043040941
CHHATTISGARH,DHAMTARI,112799,136570,5956,33041,0.189132653
CHHATTISGARH,DURG,337308,422563,19360,59341,0.083035516
CHHATTISGARH,JANJGIR - CHAMPA,238840,330103,12583,36385,0.057539368
CHHATTISGARH,JASHPUR,142899,175008,4588,20600,0.085602312
CHHATTISGARH,KANKER,120034,141247,9670,20931,0.06762671
CHHATTISGARH,KAWARDHA(KABIRDHAM),108840,158483,4717,14300,0.046891652
CHHATTISGARH,KORBA,130576,180798,6292,21460,0.070509507
CHHATTISGARH,KORIYA,83572,107424,4450,9179,0.032198956
CHHATTISGARH,MAHASAMUND,169523,230027,5158,34892,0.121259991
CHHATTISGARH,RAIGARH,236055,561916,16480,40112,0.001570097
CHHATTISGARH,RAIPUR,431471,309691,25979,72634,0.174326702
CHHATTISGARH,RAJNANDGAON,203949,256900,8246,47612,0.144901138
CHHATTISGARH,SURGUJA,357912,472991,15212,101581,0.172261004
D & N HAVELI,DADRA AND NAGAR HAVELI,32783,35408,5679,9389,0.091936036
GOA,NORTH GOA,85109,71412,38147,49092,0.23923402
GOA,SOUTH GOA,55646,53262,29716,39331,0.204425301
GUJARAT,AHMEDABAD,227424,228886,50330,75235,0.107396051
GUJARAT,AMRELI,197503,218891,60017,114124,0.217494723
GUJARAT,ANAND,259956,297069,81735,122559,0.098142124
GUJARAT,BANAS KANTHA,372619,479308,46059,82201,0.047890495
GUJARAT,BHARUCH,206501,217028,77289,99410,0.083772436
GUJARAT,BHAVNAGAR,256827,303727,43330,97517,0.152355142
GUJARAT,DAHOD,214512,294997,29781,18141,-0.077335853
GUJARAT,DANGS,38472,43842,4385,11074,0.138609844
GUJARAT,GANDHINAGAR,170993,160460,52714,68724,0.12001203
GUJARAT,JAMNAGAR,190715,230295,36211,80204,0.158396653
GUJARAT,JUNAGADH,302915,346939,82934,159716,0.186571209
GUJARAT,KACHCHH,208865,285991,56846,140634,0.219576515
GUJARAT,KHEDA,318304,358132,63477,90966,0.054578753
GUJARAT,MAHESANA,281572,318040,82181,141139,0.151912554
GUJARAT,NARMADA,93513,109005,10859,17483,0.044264246
GUJARAT,NAVSARI,182143,203615,41610,90542,0.216225664
GUJARAT,PANCH MAHALS,314881,378617,13652,64384,0.126694412
GUJARAT,PATAN,182092,210593,37263,75691,0.15478009
GUJARAT,PORBANDAR,54185,63553,8130,24880,0.241442749
GUJARAT,RAJKOT,273941,313713,63010,137949,0.209716912
GUJARAT,SABAR KANTHA,356023,404203,79532,125630,0.087419111
GUJARAT,SURAT,393748,263433,99412,168108,0.385667082
GUJARAT,SURENDRANAGAR,199869,241831,30352,50371,0.056430619
GUJARAT,VADODARA,388736,418851,90932,119555,0.051518527
GUJARAT,VALSAD,199652,215288,32482,59386,0.113151364
HARYANA,AMBALA,110206,112525,33638,57554,0.206249059
HARYANA,BHIWANI,191911,245761,50032,120948,0.231432489
HARYANA,FARIDABAD,140576,60315,32781,35332,0.352600675
HARYANA,FATEHABAD,111765,141266,46019,102915,0.316771384
HARYANA,GURGAON,195906,88013,53862,98619,0.845566945
HARYANA,HISAR,186142,221028,58862,138093,0.308555097
HARYANA,JHAJJAR,112505,134340,21036,78550,0.39773208
HARYANA,JIND,160241,187059,23244,96049,0.368412504
HARYANA,KAITHAL,130047,154438,29966,89039,0.346111183
HARYANA,KARNAL,155619,194003,46558,133025,0.386505867
HARYANA,KURUKSHETRA,99287,126220,31754,87171,0.370807157
HARYANA,MAHENDRAGARH,115120,145235,20940,56620,0.20795378
HARYANA,MEWAT, N/A ,137261,0,24448,N/A
HARYANA,PANCHKULA,40804,42651,11832,18786,0.150487034
HARYANA,PANIPAT,93517,114922,27729,76682,0.370739638
HARYANA,REWARI,108821,126261,27389,62816,0.245820575
HARYANA,ROHTAK,103997,115506,26309,67496,0.331372145
HARYANA,SIRSA,134559,178789,93970,156480,0.176866262
HARYANA,SONIPAT,158373,180286,41480,101337,0.300176903
HARYANA,YAMUNANAGAR,105067,133009,26112,61199,0.211584591
HIMACHAL PRADESH,BILASPUR,67195,74661,25781,51401,0.304784119
HIMACHAL PRADESH,CHAMBA,87699,94574,20583,46120,0.252959947
HIMACHAL PRADESH,HAMIRPUR,87596,97893,33629,87232,0.507185155
HIMACHAL PRADESH,KANGRA,272697,316419,81864,203806,0.343900328
HIMACHAL PRADESH,KINNAUR,20781,19535,7582,13521,0.327289799
HIMACHAL PRADESH,KULLU,78362,84501,22065,45826,0.260735303
HIMACHAL PRADESH,LAHAUL & SPITI,9155,6695,5425,5232,0.188906351
HIMACHAL PRADESH,MANDI,186571,204051,58194,167323,0.508092356
HIMACHAL PRADESH,SHIMLA,160646,130864,64277,78262,0.197924931
HIMACHAL PRADESH,SIRMAUR,82543,84317,25370,47975,0.261628762
HIMACHAL PRADESH,SOLAN,98519,97237,42262,67131,0.261412256
HIMACHAL PRADESH,UNA,88869,99791,27686,58716,0.276852528
JAMMU & KASHMIR,ANANTNAG,135580,109465,63834,55613,0.037222012
JAMMU & KASHMIR,BANDIPORA,N/A,47620,0,33382,N/A
JAMMU & KASHMIR,BARAMULLA,128833,119791,91281,89048,0.034839469
JAMMU & KASHMIR,BUDGAM,77005,86083,55364,71734,0.114345735
JAMMU & KASHMIR,DODA,104080,72580,14150,17417,0.104016576
JAMMU & KASHMIR,JAMMU,165829,155851,43876,38369,-0.018395537
JAMMU & KASHMIR,KARGIL,14616,15442,14156,14949,-0.000453557
JAMMU & KASHMIR,KATHUA,81360,100283,13439,14258,-0.023001812
JAMMU & KASHMIR,KISHTWAR,N/A,41968,0,8380,N/A
JAMMU & KASHMIR,KULGAM,N/A,56316,0,23508,N/A
JAMMU & KASHMIR,KUPWARA,83414,96737,40894,47288,-0.001422894
JAMMU & KASHMIR,LEH (LADAKH),17298,14590,14757,12851,0.027704368
JAMMU & KASHMIR,POONCH,55239,81670,14037,11158,-0.117490946
JAMMU & KASHMIR,PULWAMA,83398,71063,50861,44562,0.017218632
JAMMU & KASHMIR,RAJAURI,75253,117183,12543,11950,-0.064700491
JAMMU & KASHMIR,RAMBAN,N/A,52261,0,9284,N/A
JAMMU & KASHMIR,REASI,N/A,49914,0,4492,N/A
JAMMU & KASHMIR,SAMBA,N/A,53197,0,13844,N/A
JAMMU & KASHMIR,SHOPIAN,N/A,39486,0,23296,N/A
JAMMU & KASHMIR,SRINAGAR,37008,2690,31921,2385,0.024073866
JAMMU & KASHMIR,UDHAMPUR,102444,77104,24321,5710,-0.163351934
JHARKHAND,BOKARO,171904,204021,12820,13525,-0.008284312
JHARKHAND,CHATRA,125198,170239,7071,11286,0.009816494
JHARKHAND,DEOGHAR,166501,214896,7150,11752,0.011744233
JHARKHAND,DHANBAD,205914,207157,38746,25325,-0.065915659
JHARKHAND,DUMKA,316710,255926,12928,15965,0.021561636
