State_Name,SL_No,District_Name,TSC_Finance,TSC_IHHL_2011,Census_IHHL_2011
ANDHRA PRADESH,1,ADILABAD,1630.84,206683,65289
ANDHRA PRADESH,2,ANANTAPUR,3015.32,396557,153780
ANDHRA PRADESH,3,CHITTOOR,2166.91,379031,142429
ANDHRA PRADESH,4,CUDDAPAH,2776.26,276143,135062
ANDHRA PRADESH,5,EAST GODAVARI,4651.36,511245,499628
ANDHRA PRADESH,6,GUNTUR,2979.91,304906,408253
ANDHRA PRADESH,7,KARIMNAGAR,3025.84,318861,255524
ANDHRA PRADESH,8,KHAMMAM,1355.21,170462,216183
ANDHRA PRADESH,9,KRISHNA,1704.76,379331,423638
ANDHRA PRADESH,10,KURNOOL,2823.26,424829,174207
ANDHRA PRADESH,11,MAHBUBNAGAR,2670.01,462750,134686
ANDHRA PRADESH,12,MEDAK,1970.92,256425,162523
ANDHRA PRADESH,13,NALGONDA,1296.18,297167,230023
ANDHRA PRADESH,14,NELLORE,1073.08,158238,144760
ANDHRA PRADESH,15,NIZAMABAD,1390.78,283778,136076
ANDHRA PRADESH,16,PRAKASAM,1590.34,309845,193809
ANDHRA PRADESH,17,RANGAREDDI,2574.05,221659,153274
ANDHRA PRADESH,18,SRIKAKULAM,1005.2,186449,74367
ANDHRA PRADESH,19,VISAKHAPATNAM,3500.42,194325,124676
ANDHRA PRADESH,20,VIZIANAGARAM,1572.24,325282,50645
ANDHRA PRADESH,21,WARANGAL,1040.83,705182,193970
ANDHRA PRADESH,22,WEST GODAVARI,6840.38,555212,512818
ARUNACHAL PRADESH,1,ANJAW,17.47,630,1123
ARUNACHAL PRADESH,2,CHANGLANG,160.83,4807,15970
ARUNACHAL PRADESH,3,DIBANG VALLEY,29.37,854,839
ARUNACHAL PRADESH,4,EAST KAMENG,67.34,4092,2442
ARUNACHAL PRADESH,5,EAST SIANG,66.36,2512,6119
ARUNACHAL PRADESH,6,KURUNG KUMEY,169.5,4668,3627
ARUNACHAL PRADESH,7,LOHIT,100.29,8632,11087
ARUNACHAL PRADESH,8,LOWER DIBANG VALLEY,12.51,2659,4143
ARUNACHAL PRADESH,9,LOWER SUBANSIRI,48.07,3993,8211
ARUNACHAL PRADESH,10,PAPUM PARE,2.64,4045,7413
ARUNACHAL PRADESH,11,TAWANG,57.68,3616,5480
ARUNACHAL PRADESH,12,TIRAP,64.2,2572,13235
ARUNACHAL PRADESH,13,UPPER SIANG,34.38,2020,3183
ARUNACHAL PRADESH,14,UPPER SUBANSIRI,65.27,3663,4455
ARUNACHAL PRADESH,15,WEST KAMENG,95.07,3366,4876
ARUNACHAL PRADESH,16,WEST SIANG,78.79,4594,10936
ASSAM,1,BAGSHA,979.76,63435,72803
ASSAM,2,BARPETA,1772.02,98770,213994
ASSAM,3,BONGAIGAON,55.95,10812,61405
ASSAM,4,CACHAR,1088.08,84204,232066
ASSAM,5,CHIRANG,270.52,13545,21494
ASSAM,6,DARRANG,702.45,28142,83453
ASSAM,7,DHEMAJI,911.13,58685,48003
ASSAM,8,DHUBRI,1166.74,64004,144461
ASSAM,9,DIBRUGARH,1167.47,77532,161992
ASSAM,10,GOALPARA,731.03,53141,104937
ASSAM,11,GOLAGHAT,1167.24,66810,131864
ASSAM,12,HAILAKANDI,688.16,44996,108979
ASSAM,13,JORHAT,372.3,26060,107081
ASSAM,14,KAMRUP,875.48,75798,156599
ASSAM,15,KARBI ANGLONG,170.72,5219,74151
ASSAM,16,KARIMGANJ,710.68,58632,187335
ASSAM,17,KOKRAJHAR,910.11,74990,41904
ASSAM,18,LAKHIMPUR,1267.95,62261,97627
ASSAM,19,MARIGAON,997.02,90394,96614
ASSAM,20,NAGAON,1902.37,71241,345629
ASSAM,21,NALBARI,769.52,68377,87643
ASSAM,22,NORTH CACHAR HILLS,80.97,5398,16843
