State_Name,SL_No,District_Name,Total_Projects_Outlay,ApprShare_Center,ApprShare_State,ApprShare_Beneficiary,Rof_Center,Rof_State,Rof_Beneficiary,Rof_Total,ExpReported_Center,ExpReported_State,ExpReported_Beneficiary,ExpReported_Total,PO_IHHL_BPL,PO_IHHL_APL,PO_IHHL_TOTAL,PO_SCW,PO_School_Toilets,PO_Anganwadi_Toilets,PO_RSM,PO_PC,PP_IHHL_BPL,PP_IHHL_APL,PP_IHHL_TOTAL,PP_SCW,PP_School_Toilets,PP_Anganwadi_Toilets,PP_RSM,PP_PC,BPL_Appr.(C+S+B),BPL_Exp.(C+S+B),BPL_(%)_age,School_Appr.(C+S+B),School_Exp.(C+S+B),School_(%)_age,Anganwadi_Appr.(C+S+B),Anganwadi_Exp.(C+S+B),Anganwadi_(%)_age,Sanitary_Complex_Appr.(C+S+B),Sanitary_Complex_Exp.(C+S+B),Sanitary_Complex_(%)_age,IHHL_BPL_Ach_SC,IHHL_BPL_Ach_ST,IHHL_BPL_Ach_General,IHHL_BPL_Ach_PH,IHHL_BPL_Ach_%_SC_ST,IHHL_APL_Ach_SC,IHHL_APL_Ach_ST,IHHL_APL_Ach_Small_Marginal_Farmers,IHHL_APL_Ach_Landless_Labourers,IHHL_APL_Ach_PH,IHHL_APL_Ach_Women_Headed_Households,Rural_Households,Census_2001_IHHL
ANDHRA PRADESH,1,ADILABAD,7845.08,5210.61,1918.19,716.28,4607.82,1026.28,632.57,6266.67,4591.94,1048.50,634.19,6274.63,247475,148181,395656,0,4462,427,10,0,208987,52432,261419,0,5030,427,0,0,5592.07,4150.96,74.23,989.00,1427.90,100.00,30.00,35.90,100.00,0.00,0.00,0.00,33428,18683,156876,0,24.94,1,0,0,0,0,0,473949,44311
ANDHRA PRADESH,1,ANANTAPUR,6308.72,4059.29,1394.66,854.77,2359.24,1456.50,1331.82,5147.56,1777.10,1465.31,1330.84,4573.25,363314,181335,544649,0,3421,284,10,0,370455,42200,412655,0,4542,659,0,0,3838.47,3279.74,85.44,884.20,844.45,95.50,14.20,39.75,100.00,0.00,10.41,0.00,56018,18691,295746,0,20.17,0,0,0,0,0,0,698439,70929
ANDHRA PRADESH,2,CHITTOOR,7680.84,5036.09,1875.03,769.72,3960.31,1329.78,532.18,5822.27,3333.38,1166.21,536.04,5035.63,296465,236986,533451,0,8171,375,10,0,276083,196146,472229,0,8171,375,11,0,4829.60,2745.87,56.86,1800.86,1571.29,87.25,18.76,73.48,100.00,0.00,0.00,0.00,43403,8458,224222,0,18.78,0,0,0,0,0,0,727635,94962
ANDHRA PRADESH,3,CUDDAPAH,6440.21,3924.41,1662.14,853.66,2920.12,1332.28,1357.02,5609.42,3483.26,1391.36,796.67,5671.29,251653,251610,503263,0,6802,277,10,0,250350,125493,375843,0,5851,277,0,0,3835.40,4345.14,100.00,1659.96,819.04,49.34,14.76,3.60,24.39,0.00,0.00,0.00,38363,7489,204498,0,18.32,0,0,0,0,0,0,475919,77225
ANDHRA PRADESH,4,EAST GODAVARI,9690.38,6324.81,2329.86,1035.71,6618.35,1886.72,1081.32,9586.39,5611.02,1944.37,1114.46,8669.84,370255,191400,561655,50,7004,1164,10,0,378993,191400,570393,49,7167,1038,20,0,6674.52,6172.29,92.48,1475.66,1538.49,100.00,81.16,42.04,51.80,100.00,88.20,88.20,89816,34536,221253,0,32.81,44022,19140,0,0,0,0,1063044,231280
ANDHRA PRADESH,5,GUNTUR,12563.94,6298.09,3611.81,2654.04,4240.70,1783.72,698.21,6722.63,3439.14,1800.82,698.21,5938.17,370996,319053,690049,0,5346,215,10,0,276334,85950,362284,0,5116,215,37,0,9644.83,4320.69,44.80,1332.16,1064.33,79.90,13.19,9.93,75.28,0.00,0.00,0.00,38282,12967,224611,0,18.55,0,0,0,0,0,0,877109,199735
ANDHRA PRADESH,7,KARIMNAGAR,10849.48,7165.48,2612.85,1071.15,9055.36,2701.76,176.13,11933.25,8853.07,2698.41,176.13,11727.61,365267,219763,585030,0,5848,298,10,0,427113,63127,490240,0,6448,600,13,0,7893.18,9940.64,100.00,1169.60,964.32,82.45,14.90,32.20,100.00,0.00,0.00,0.00,77381,17482,332238,7992,22.21,1,0,1,0,0,0,746956,107825
ANDHRA PRADESH,8,KHAMMAM,5033.95,3296.76,1226.56,510.63,4368.85,732.81,510.65,5612.31,4417.74,732.08,294.02,5443.84,189225,4860,194085,0,6318,521,10,0,211915,4870,216785,0,6318,521,15,10,2990.37,3443.23,100.00,1263.60,1257.60,99.53,31.94,44.28,100.00,0.00,0.00,0.00,66653,36918,102728,0,48.87,0,0,0,0,0,0,578490,87256
ANDHRA PRADESH,6,KRISHNA,9115.68,5977.79,2174.82,963.07,4150.67,777.11,283.63,5211.41,3565.50,822.44,310.74,4698.68,351572,175991,527563,17,3374,62,10,0,329989,104197,434186,8,3374,171,40,0,6879.66,3473.45,50.49,821.20,429.94,52.36,3.10,0.87,28.06,34.00,20.00,58.82,71138,15832,237990,0,26.36,2000,600,0,0,0,0,754361,233301
ANDHRA PRADESH,7,KURNOOL,10196.49,6720.35,2491.52,984.62,4496.77,1719.21,573.54,6789.52,2837.62,1767.47,494.58,5099.68,383478,129956,513434,0,4669,2111,10,0,330667,174773,505440,13,4669,298,49,0,7470.95,3066.69,41.05,1131.50,966.90,85.45,162.80,11.57,7.11,0.00,0.00,0.00,44851,2191,153852,0,14.23,50,32,9,5,3,2,630786,86436
ANDHRA PRADESH,11,MAHBUBNAGAR,12463.21,8267.19,3086.64,1109.38,6075.15,1830.56,857.51,8763.22,3521.73,1321.36,857.51,5700.60,418559,66032,484591,3,5433,357,10,0,252708,263280,515988,9,5434,357,15,0,9734.32,3212.03,33.00,1196.86,1716.16,100.00,24.32,84.52,100.00,6.00,12.75,100.00,40523,20877,191308,0,24.30,0,0,0,0,0,0,750446,85960
ANDHRA PRADESH,12,MEDAK,9398.96,6237.97,2285.12,875.87,4568.07,2256.50,769.91,7594.48,5403.30,2189.15,706.10,8298.55,311743,96490,408233,50,5446,1873,10,0,344864,47977,392841,30,5962,1615,10,0,5932.07,5753.26,96.99,1507.70,1543.22,100.00,134.99,89.02,65.95,100.00,22.60,22.60,75265,19734,241740,0,27.55,200,0,0,0,0,0,511576,71449
ANDHRA PRADESH,13,NALGONDA,4057.62,2623.60,973.78,460.24,3239.62,1390.03,663.87,5293.52,3363.93,682.75,494.92,4541.60,215058,156761,371819,0,6628,44,10,0,255459,87693,343152,0,7128,955,10,10,1794.62,2369.42,100.00,1455.80,1326.95,91.15,2.20,247.38,100.00,0.00,38.25,0.00,36228,16751,176934,0,20.74,0,0,0,0,0,0,720569,107110
ANDHRA PRADESH,8,NELLORE,6774.39,4452.20,1705.65,616.54,3505.18,882.80,498.12,4886.10,2779.02,830.90,346.83,3956.75,226725,116678,343403,0,6415,1396,10,0,178666,19462,198128,0,6207,579,0,0,4406.08,2309.24,52.41,1467.06,1244.13,84.80,105.77,43.19,40.83,0.00,0.00,0.00,28096,13408,137162,0,23.23,0,0,0,0,0,0,567914,87984
ANDHRA PRADESH,15,NIZAMABAD,3563.44,2292.61,788.33,482.50,2914.46,1210.88,2155.82,6281.16,2622.22,1151.40,317.81,4091.43,225519,9474,234993,0,2477,32,10,0,245117,64759,309876,0,2477,32,36,0,2231.44,2798.35,100.00,495.40,725.24,100.00,1.60,0.00,0.00,0.00,0.00,0.00,35217,13758,196142,0,19.98,0,0,0,0,0,0,462799,63145
