State_Name,SL_No,District_Name,Total_Projects_Outlay,ApprShare_Center,ApprShare_State,ApprShare_Beneficiary,Rof_Center,Rof_State,Rof_Beneficiary,Rof_Total,ExpReported_Center,ExpReported_State,ExpReported_Beneficiary,ExpReported_Total,PO_IHHL_BPL,PO_IHHL_APL,PO_IHHL_TOTAL,PO_SCW,PO_School_Toilets,PO_Anganwadi_Toilets,PO_RSM,PO_PC,PP_IHHL_BPL,PP_IHHL_APL,PP_IHHL_TOTAL,PP_SCW,PP_School_Toilets,PP_Anganwadi_Toilets,PP_RSM,PP_PC,BPL_Appr.(C+S+B),BPL_Exp.(C+S+B),BPL_(%)_age,School_Appr.(C+S+B),School_Exp.(C+S+B),School_(%)_age,Anganwadi_Appr.(C+S+B),Anganwadi_Exp.(C+S+B),Anganwadi_(%)_age,Sanitary_Complex_Appr.(C+S+B),Sanitary_Complex_Exp.(C+S+B),Sanitary_Complex_(%)_age,IHHL_Objective_BPL,IHHL_Objective_APL,IHHL_Objective_Total,IHHL_BPL_Ach_Total_BPL,IHHL_BPL_Ach_SC,IHHL_BPL_Ach_ST,IHHL_BPL_Ach_General,IHHL_BPL_Ach_PH,IHHL_BPL_Ach_%_SC_ST,IHHL_APL_Ach_Total_APL,IHHL_APL_Ach_SC,IHHL_APL_Ach_ST,IHHL_APL_Ach_Small_Marginal_Farmers,IHHL_APL_Ach_Landless_Labourers,IHHL_APL_Ach_PH,IHHL_APL_Ach_Women_Headed_Households,IHHL_Total
ANDHRA PRADESH,1,ADILABAD,7845.08,5210.61,1918.19,716.28,3334.5,1026.28,632.57,4993.35,2385.43,1026.28,561.22,3972.93,11-06-2001,Feb-13,247475,148181,395656,0,4462,427,10,0,173930,52431,226361,0,4462,384,5592.07,2363.57,42.27,989,1229.1,100,30,12.1,40.33,0,0,0,247475,148181,395656,173930,26090,11377,136463,0,21.54,52431,0,0,0,0,0,0,226361
ANDHRA PRADESH,2,ANANTAPUR,6308.72,4059.29,1394.66,854.77,2213.51,1456.5,1331.82,5001.83,1242.57,1456.41,1325.3,4024.28,11-06-2001,Jan-13,363314,181335,544649,0,3421,284,10,0,366557,42000,408557,0,4258,302,3838.47,3016.22,78.58,884.2,745.05,84.26,14.2,11.19,78.8,0,10.41,0,363314,181335,544649,366557,54984,18328,293245,0,20,42000,0,0,0,0,0,0,408557
ANDHRA PRADESH,3,CHITTOOR,7680.84,5036.09,1875.03,769.72,3909.82,1329.78,532.18,5771.78,2185.6,1130.92,532.18,3848.7,28-03-2000,Feb-13,296465,236986,533451,0,8171,375,10,0,264888,190905,455793,0,8171,375,4829.6,2356.05,48.78,1800.86,1323.12,73.47,18.76,18.76,100,0,0,0,296465,236986,533451,264888,41324,7860,215704,0,18.57,190905,0,0,0,0,0,0,455793
ANDHRA PRADESH,4,CUDDAPAH,6440.21,3924.41,1662.14,853.66,2763.6,1332.28,1357.02,5452.9,1682.6,1332,796.67,3811.27,02-05-2003,Feb-13,251653,251610,503263,0,6802,277,10,0,238556,125493,364049,0,5186,277,3835.4,2780.36,72.49,1659.96,656.89,39.57,14.76,3.6,24.39,0,0,0,251653,251610,503263,238556,35784,7156,195616,0,18,125493,0,0,0,0,0,0,364049
ANDHRA PRADESH,5,EAST GODAVARI,9690.38,6324.81,2329.86,1035.71,5302.66,1886.72,1081.32,8270.7,4132.02,1886.18,1062.69,7080.9,23-04-2002,Feb-13,370255,191400,561655,50,7004,1164,10,0,345502,191400,536902,49,7004,781,6674.52,4797.41,71.88,1475.66,1481.44,100,81.16,21.48,26.47,100,86,86,370255,191400,561655,345502,88898,34192,218826,0,35.63,191400,44022,19140,0,0,0,0,536902
ANDHRA PRADESH,6,GUNTUR,12563.94,6298.09,3611.81,2654.04,3986.24,1783.72,698.21,6468.17,2638.27,1783.72,698.21,5120.21,23-04-2002,Feb-13,370996,319053,690049,0,5346,215,10,0,269588,85950,355538,0,5079,215,9644.83,3765.48,39.04,1332.16,983.83,73.85,13.19,9.93,75.28,0,0,0,370996,319053,690049,269588,36435,12604,220549,0,18.19,85950,0,0,0,0,0,0,355538
ANDHRA PRADESH,7,KARIMNAGAR,10849.48,7165.48,2612.85,1071.15,5602.87,1943.23,176.13,7722.23,5003.88,1939.23,176.13,7119.24,13-02-2003,Feb-13,365267,219763,585030,0,5848,298,10,0,363550,63025,426575,0,5848,298,7893.18,5804.58,73.54,1169.6,754.32,64.49,14.9,8.04,53.96,0,0,0,365267,219763,585030,363550,64582,14470,284453,7992,21.74,63025,0,0,0,0,0,0,426575
ANDHRA PRADESH,8,KHAMMAM,5033.95,3296.76,1226.56,510.63,2779.69,732.81,510.65,4023.15,2633.19,732.08,294.02,3659.29,25-11-1999,Feb-13,189225,4860,194085,0,6318,521,10,0,195763,4870,200633,0,6318,521,2990.37,1799.79,60.19,1263.6,1257.6,99.53,31.94,44.28,100,0,0,0,189225,4860,194085,195763,62752,31642,101369,0,48.22,4870,0,0,0,0,0,0,200633
ANDHRA PRADESH,9,KRISHNA,9115.68,5977.79,2174.82,963.07,3883.94,777.11,283.63,4944.68,2444.76,769.49,277.92,3492.18,13-02-2003,Feb-13,351572,175991,527563,17,3374,62,10,0,317154,104197,421351,8,3374,171,6879.66,2429.23,35.31,821.2,429.94,52.36,3.1,0.87,28.06,34,20,58.82,351572,175991,527563,317154,61051,11502,231610,0,22.88,104197,2000,600,0,0,0,0,421351
ANDHRA PRADESH,10,KURNOOL,10196.49,6720.35,2491.52,984.62,4237.66,1719.21,573.54,6530.42,1925.44,1718.37,463.12,4106.94,23-04-2002,Feb-13,383478,129956,513434,0,4669,2111,10,0,312382,174773,487155,13,4669,235,7470.95,2871.96,38.44,1131.5,748.18,66.12,162.8,9.67,5.94,0,0,0,383478,129956,513434,312382,43906,2105,151321,0,14.73,174773,0,0,0,0,0,0,487155
ANDHRA PRADESH,11,MAHBUBNAGAR,12463.21,8267.19,3086.64,1109.38,5863.24,1830.56,857.51,8551.3,2865.64,1103.12,857.51,4826.26,11-06-2001,Feb-13,418559,66032,484591,3,5433,357,10,0,241187,263280,504467,9,5434,357,9734.32,2914.29,29.94,1196.86,1455.76,100,24.32,6.76,27.8,6,10.75,100,418559,66032,484591,241187,37709,19731,183747,0,23.82,263280,0,0,0,0,0,0,504467
ANDHRA PRADESH,12,MEDAK,9398.96,6237.97,2285.12,875.87,4003.9,1742.5,569.91,6316.31,3491.89,1662.05,495.76,5649.7,13-02-2003,Feb-13,311743,96490,408233,50,5446,1873,10,0,310444,47977,358421,14,4752,814,5932.07,4287.24,72.27,1507.7,923.38,61.24,134.99,43.74,32.4,100,8.4,8.4,311743,96490,408233,310444,68792,16936,216766,0,27.61,47977,200,0,0,0,0,0,358421
