State_Name,SL_No,District_Name,Total_Projects_Outlay,ApprShare_Center,ApprShare_State,ApprShare_Beneficiary,Rof_Center,Rof_State,Rof_Beneficiary,Rof_Total,ExpReported_Center,ExpReported_State,ExpReported_Beneficiary,ExpReported_Total,PO_IHHL_BPL,PO_IHHL_APL,PO_IHHL_TOTAL,PO_SCW,PO_School_Toilets,PO_Anganwadi_Toilets,PO_RSM,PO_PC,PP_IHHL_BPL,PP_IHHL_APL,PP_IHHL_TOTAL,PP_SCW,PP_School_Toilets,PP_Anganwadi_Toilets,PP_RSM,PP_PC,BPL_Appr.(C+S+B),BPL_Exp.(C+S+B),BPL_(%)_age,School_Appr.(C+S+B),School_Exp.(C+S+B),School_(%)_age,Anganwadi_Appr.(C+S+B),Anganwadi_Exp.(C+S+B),Anganwadi_(%)_age,Sanitary_Complex_Appr.(C+S+B),Sanitary_Complex_Exp.(C+S+B),Sanitary_Complex_(%)_age,IHHL_BPL_Ach_SC,IHHL_BPL_Ach_ST,IHHL_BPL_Ach_General,IHHL_BPL_Ach_PH,IHHL_BPL_Ach_%_SC_ST,IHHL_APL_Ach_SC,IHHL_APL_Ach_ST,IHHL_APL_Ach_Small_Marginal_Farmers,IHHL_APL_Ach_Landless_Labourers,IHHL_APL_Ach_PH,IHHL_APL_Ach_Women_Headed_Households,Rural_Households,Census_2001_IHHL
ANDHRA PRADESH,1,ADILABAD,7845.08,5210.61,1918.19,716.28,3334.5,1026.28,632.57,4993.35,3997.55,1026.28,619.96,5643.79,247475,148181,395656,0,4462,427,10,0,204286,52431,256717,0,5030,427,0,0,5592.07,3968.92,70.97,989,1254.1,100,30,13.5,45,0,0,0,32210,17898,154178,0,24.53,0,0,0,0,0,0,473949,44311
ANDHRA PRADESH,2,ANANTAPUR,6308.72,4059.29,1394.66,854.77,2213.51,1456.5,1331.82,5001.83,1242.57,1456.41,1325.3,4024.28,363314,181335,544649,0,3421,284,10,0,369781,42200,411981,0,4542,659,0,0,3838.47,3016.22,78.58,884.2,745.05,84.26,14.2,11.19,78.8,0,10.41,0,55820,18604,295357,0,20.13,0,0,0,0,0,0,698439,70929
ANDHRA PRADESH,3,CHITTOOR,7680.84,5036.09,1875.03,769.72,3909.82,1329.78,532.18,5771.78,2774.95,1154.35,532.18,4461.48,296465,236986,533451,0,8171,375,10,0,275122,196146,471268,0,8171,375,11,0,4829.6,2495.41,51.67,1800.86,1508.56,83.77,18.76,18.76,100,0,0,0,43120,8436,223566,0,18.74,0,0,0,0,0,0,727635,94962
ANDHRA PRADESH,4,CUDDAPAH,6440.21,3924.41,1662.14,853.66,2763.6,1332.28,1357.02,5452.9,1988.29,1332.19,796.67,4117.15,251653,251610,503263,0,6802,277,10,0,243411,125493,368904,0,5851,277,0,0,3835.4,3050.91,79.55,1659.96,672.04,40.49,14.76,3.6,24.39,0,0,0,36512,7302,199597,0,18,0,0,0,0,0,0,475919,77225
ANDHRA PRADESH,5,EAST GODAVARI,9690.38,6324.81,2329.86,1035.71,5302.66,1886.72,1081.32,8270.7,5229.73,1886.68,1081.32,8197.73,370255,191400,561655,50,7004,1164,10,0,375304,191400,566704,49,7167,1038,20,0,6674.52,5857.43,87.76,1475.66,1521.37,100,81.16,35.87,44.2,100,88.2,88.2,88898,34192,218826,0,32.8,44022,19140,0,0,0,0,1063044,231280
ANDHRA PRADESH,6,GUNTUR,12563.94,6298.09,3611.81,2654.04,3986.24,1783.72,698.21,6468.17,2992.44,1783.72,698.21,5474.38,370996,319053,690049,0,5346,215,10,0,274987,85950,360937,0,5116,215,37,0,9644.83,4063.32,42.13,1332.16,983.83,73.85,13.19,9.93,75.28,0,0,0,37838,12914,223761,0,18.46,0,0,0,0,0,0,877109,199735
ANDHRA PRADESH,7,KARIMNAGAR,10849.48,7165.48,2612.85,1071.15,6202.87,2701.76,176.13,9080.76,6990.76,2698.41,176.13,9865.3,365267,219763,585030,0,5848,298,10,0,420969,63125,484094,0,6448,600,13,0,7893.18,8371.33,100,1169.6,862.12,73.71,14.9,9.64,64.7,0,0,0,76021,17414,327522,7992,22.2,0,0,0,0,0,0,746956,107825
ANDHRA PRADESH,8,KHAMMAM,5033.95,3296.76,1226.56,510.63,3279.69,732.81,510.65,4523.15,3447.76,732.08,294.02,4473.86,189225,4860,194085,0,6318,521,10,0,211914,4870,216784,0,6318,521,15,10,2990.37,2570.5,85.96,1263.6,1257.6,99.53,31.94,44.28,100,0,0,0,66652,36918,102728,0,48.87,0,0,0,0,0,0,578490,87256
ANDHRA PRADESH,9,KRISHNA,9115.68,5977.79,2174.82,963.07,3883.94,777.11,283.63,4944.68,2825.49,775.04,281.48,3882.02,351572,175991,527563,17,3374,62,10,0,326556,104197,430753,8,3374,171,40,0,6879.66,2764.7,40.19,821.2,429.94,52.36,3.1,0.87,28.06,34,20,58.82,69956,15703,235868,0,26.23,2000,600,0,0,0,0,754361,233301
ANDHRA PRADESH,10,KURNOOL,10196.49,6720.35,2491.52,984.62,4237.66,1719.21,573.54,6530.42,2714.74,1718.37,463.12,4896.23,383478,129956,513434,0,4669,2111,10,0,327105,174773,501878,13,4669,298,49,0,7470.95,2873.88,38.47,1131.5,966.9,85.45,162.8,11.57,7.11,0,0,0,43906,2105,151321,0,14.07,50,32,9,5,3,2,630786,86436
