State_Name,SL_No,District_Name,Total_Projects_Outlay,ApprShare_Center,ApprShare_State,ApprShare_Beneficiary,Rof_Center,Rof_State,Rof_Beneficiary,Rof_Total,ExpReported_Center,ExpReported_State,ExpReported_Beneficiary,ExpReported_Total,PO_IHHL_BPL,PO_IHHL_APL,PO_IHHL_TOTAL,PO_SCW,PO_School_Toilets,PO_Anganwadi_Toilets,PO_RSM,PO_PC,PP_IHHL_BPL,PP_IHHL_APL,PP_IHHL_TOTAL,PP_SCW,PP_School_Toilets,PP_Anganwadi_Toilets,PP_RSM,PP_PC,BPL_Appr.(C+S+B),BPL_Exp.(C+S+B),BPL_(%)_age,School_Appr.(C+S+B),School_Exp.(C+S+B),School_(%)_age,Anganwadi_Appr.(C+S+B),Anganwadi_Exp.(C+S+B),Anganwadi_(%)_age,Sanitary_Complex_Appr.(C+S+B),Sanitary_Complex_Exp.(C+S+B),Sanitary_Complex_(%)_age,IHHL_BPL_Ach_SC,IHHL_BPL_Ach_ST,IHHL_BPL_Ach_General,IHHL_BPL_Ach_PH,IHHL_BPL_Ach_%_SC_ST,IHHL_APL_Ach_SC,IHHL_APL_Ach_ST,IHHL_APL_Ach_Small_Marginal_Farmers,IHHL_APL_Ach_Landless_Labourers,IHHL_APL_Ach_PH,IHHL_APL_Ach_Women_Headed_Households,Rural_Households,Census_2001_IHHL
ANDHRA PRADESH,1,ADILABAD,7845.08,5210.61,1918.19,716.28,3334.5,1026.28,632.57,4993.35,2803.52,1026.28,619.96,4449.76,247475,148181,395656,0,4462,427,10,0,179894,52431,232325,0,5030,427,0,0,5592.07,2798.2,50.04,989,1254.1,100,30,13.5,45,0,0,0,27512,12171,140211,0,22.06,0,0,0,0,0,0,473949,44311
ANDHRA PRADESH,2,ANANTAPUR,6308.72,4059.29,1394.66,854.77,2213.51,1456.5,1331.82,5001.83,1242.57,1456.41,1325.3,4024.28,363314,181335,544649,0,3421,284,10,0,366557,42000,408557,0,4258,302,0,0,3838.47,3016.22,78.58,884.2,745.05,84.26,14.2,11.19,78.8,0,10.41,0,54984,18328,293245,0,20,0,0,0,0,0,0,698439,70929
ANDHRA PRADESH,3,CHITTOOR,7680.84,5036.09,1875.03,769.72,3909.82,1329.78,532.18,5771.78,2315.79,1154.35,532.18,4002.32,296465,236986,533451,0,8171,375,10,0,273987,196146,470133,0,8171,375,11,0,4829.6,2398.58,49.66,1800.86,1333.29,74.04,18.76,18.76,100,0,0,0,42834,8407,222746,0,18.7,0,0,0,0,0,0,727635,94962
ANDHRA PRADESH,4,CUDDAPAH,6440.21,3924.41,1662.14,853.66,2763.6,1332.28,1357.02,5452.9,1744.26,1332,796.67,3872.93,251653,251610,503263,0,6802,277,10,0,242215,125493,367708,0,5851,277,0,0,3835.4,2815.89,73.42,1659.96,672.04,40.49,14.76,3.6,24.39,0,0,0,36332,7267,198616,0,18,0,0,0,0,0,0,475919,77225
ANDHRA PRADESH,5,EAST GODAVARI,9690.38,6324.81,2329.86,1035.71,5302.66,1886.72,1081.32,8270.7,4774.04,1886.62,1063.13,7723.79,370255,191400,561655,50,7004,1164,10,0,359158,191400,550558,49,7004,781,20,0,6674.52,5438.1,81.48,1475.66,1481.44,100,81.16,21.48,26.47,100,88.2,88.2,88898,34192,218826,0,34.27,44022,19140,0,0,0,0,1063044,231280
ANDHRA PRADESH,6,GUNTUR,12563.94,6298.09,3611.81,2654.04,3986.24,1783.72,698.21,6468.17,2798.97,1783.72,698.21,5280.91,370996,319053,690049,0,5346,215,10,0,271407,85950,357357,0,5116,215,37,0,9644.83,3885.1,40.28,1332.16,983.83,73.85,13.19,9.93,75.28,0,0,0,36638,12674,221777,0,18.17,0,0,0,0,0,0,877109,199735
ANDHRA PRADESH,7,KARIMNAGAR,10849.48,7165.48,2612.85,1071.15,5602.87,2416.12,176.13,8195.12,6311.55,2412.77,176.13,8900.45,365267,219763,585030,0,5848,298,10,0,403197,63125,466322,0,6200,475,13,0,7893.18,7550.5,95.66,1169.6,757.12,64.73,14.9,8.04,53.96,0,0,0,71646,16907,314644,7992,21.96,0,0,0,0,0,0,746956,107825
ANDHRA PRADESH,8,KHAMMAM,5033.95,3296.76,1226.56,510.63,2779.69,732.81,510.65,4023.15,3214.05,732.08,294.02,4240.15,189225,4860,194085,0,6318,521,10,0,200897,4870,205767,0,6318,521,15,10,2990.37,2347.81,78.51,1263.6,1257.6,99.53,31.94,44.28,100,0,0,0,63593,32066,102728,0,47.62,0,0,0,0,0,0,578490,87256
ANDHRA PRADESH,9,KRISHNA,9115.68,5977.79,2174.82,963.07,3883.94,777.11,283.63,4944.68,2620.07,769.49,277.92,3667.49,351572,175991,527563,17,3374,62,10,0,321316,104197,425513,8,3374,171,40,0,6879.66,2576.62,37.45,821.2,429.94,52.36,3.1,0.87,28.06,34,20,58.82,69729,15611,232085,0,26.56,2000,600,0,0,0,0,754361,233301
ANDHRA PRADESH,10,KURNOOL,10196.49,6720.35,2491.52,984.62,4237.66,1719.21,573.54,6530.42,2353.26,1718.37,463.12,4534.75,383478,129956,513434,0,4669,2111,10,0,325339,174773,500112,13,4669,283,49,0,7470.95,2873.88,38.47,1131.5,966.9,85.45,162.8,9.67,5.94,0,0,0,43906,2105,151321,0,14.14,0,0,0,0,0,0,630786,86436
ANDHRA PRADESH,11,MAHBUBNAGAR,12463.21,8267.19,3086.64,1109.38,5863.24,1830.56,857.51,8551.3,3147.21,1222.8,857.51,5227.52,418559,66032,484591,3,5433,357,10,0,245457,263280,508737,9,5434,357,15,0,9734.32,2949.01,30.29,1196.86,1716.16,100,24.32,84.52,100,6,12.75,100,38702,20137,186618,0,23.97,0,0,0,0,0,0,750446,85960
ANDHRA PRADESH,12,MEDAK,9398.96,6237.97,2285.12,875.87,4003.9,1797.5,569.91,6371.31,4320.73,1714.03,495.76,6530.52,311743,96490,408233,50,5446,1873,10,0,314304,47977,362281,27,4970,1272,10,0,5932.07,4754.18,80.14,1507.7,1228.84,81.5,134.99,58.56,43.38,100,18.4,18.4,69483,17626,219070,0,27.71,200,0,0,0,0,0,511576,71449
ANDHRA PRADESH,13,NALGONDA,4057.62,2623.6,973.78,460.24,2247.46,1390.03,663.87,4301.36,1918.48,679.97,493.13,3091.58,215058,156761,371819,0,6628,44,10,0,235390,87693,323083,0,6628,955,10,10,1794.62,1425.75,79.45,1455.8,1107.1,76.05,2.2,94.98,100,0,38.25,0,29896,13915,166064,0,18.61,0,0,0,0,0,0,720569,107110
ANDHRA PRADESH,14,NELLORE,6774.39,4452.2,1705.65,616.54,3122.5,882.8,498.12,4503.42,1598.58,775.61,322.25,2696.44,226725,116678,343403,0,6415,1396,10,0,173670,19462,193132,0,5918,510,0,0,4406.08,1312.43,29.79,1467.06,1126,76.75,105.77,24.95,23.59,0,0,0,26367,12774,134529,0,22.54,0,0,0,0,0,0,567914,87984
ANDHRA PRADESH,15,NIZAMABAD,3563.44,2292.61,788.33,482.5,1939.81,1210.88,2155.82,5306.51,2381.02,1151.4,317.81,3850.23,225519,9474,234993,0,2477,32,10,0,225519,64759,290278,0,2477,32,36,0,2231.44,2673.67,100,495.4,725.24,100,1.6,0,0,0,0,0,30339,12276,182904,0,18.9,0,0,0,0,0,0,462799,63145
ANDHRA PRADESH,16,PRAKASAM,11629.2,7674.58,2891.99,1062.63,4617.5,1000.81,199.74,5818.05,3490.22,999.93,198.88,4689.03,386617,193493,580110,0,7224,780,10,0,309471,143280,452751,0,7234,770,41,0,8947.35,3178.91,35.53,1540.8,1148.94,74.57,43.66,8.49,19.45,0,0,0,56340,19428,233703,0,24.48,0,0,0,0,0,0,692542,93185
ANDHRA PRADESH,17,RANGAREDDI,5820.64,3846.08,1396.59,577.97,2979.96,1594.8,142.82,4717.58,1864.39,1590.1,128.32,3582.81,212629,71610,284239,0,3726,467,10,0,180554,69147,249701,0,3726,467,10,0,3911.58,2597.35,66.4,783,458.23,58.52,26.77,19.54,72.99,0,0,0,31488,10421,138645,0,23.21,0,0,0,0,0,0,352247,47862
ANDHRA PRADESH,18,SRIKAKULAM,11000.93,7286.19,2778.43,936.31,3235.39,1183.51,113.87,4532.77,1997.83,889.01,113.86,3000.7,302221,225272,527493,40,6398,266,10,0,132082,82270,214352,16,5712,128,38,3,8143.71,1990.01,24.44,1553.36,742.35,47.79,18.49,2.53,13.68,80,10.88,13.6,13701,9502,103832,0,17.57,0,0,0,0,0,0,580048,47635
ANDHRA PRADESH,19,VISAKHAPATNAM,7601.64,5006.22,1857.77,737.65,3547.35,3980.8,432.83,7960.98,1718.58,3086.87,399.24,5204.68,252875,156460,409335,20,5074,0,10,0,180250,75765,256015,20,6378,605,0,0,5244.76,3694.94,70.45,1014.8,1117.55,100,30.25,16.87,55.77,40,43.52,100,17088,21961,141201,0,21.66,0,0,0,0,0,0,583474,68708
ANDHRA PRADESH,20,VIZIANAGARAM,5074.86,3369.99,1205.77,499.1,2012.02,855.89,315.26,3183.17,1352.7,843.88,257.41,2453.98,220051,245678,465729,10,2999,1668,10,0,166966,159984,326950,8,3368,350,12,0,3307.45,1629.32,49.26,599.8,470.54,78.45,129.33,7.35,5.68,20,13.91,69.55,24357,10388,130242,0,20.81,0,0,0,0,0,0,475145,34909
ANDHRA PRADESH,21,WARANGAL,6027.11,3819.19,1309.33,898.59,2488.92,1044.29,184.76,3717.97,1550.25,560.1,184.76,2295.1,330260,138180,468440,0,4122,2157,10,0,359732,345450,705182,0,4122,510,0,0,3929.91,1172.33,29.83,870.6,809.92,93.03,168.49,23.76,14.1,0,0,0,30645,15980,113831,0,12.96,0,0,0,0,0,0,652254,89391
ANDHRA PRADESH,22,WEST GODAVARI,9050.9,5877.01,2264.52,909.37,4280.96,5850,1148.58,11279.54,3769.11,5440.15,1123.37,10332.63,344272,294425,638697,385,4551,216,10,0,319797,294425,614222,837,4716,501,97,0,5595.99,7955.84,100,1209.6,1366.41,100,19.26,14.58,75.7,281.05,498.54,100,108175,14026,185733,0,38.21,100,20,0,0,0,0,870607,233584
ARUNACHAL PRADESH,1,ANJAW,177.73,124.04,40.39,13.3,93.46,46.78,0,140.24,55.56,29.24,0,84.8,3232,0,3232,8,44,46,1,0,1490,0,1490,2,48,48,0,0,117.93,52.14,44.21,8.8,13.6,100,2.6,1.95,75,16,1.6,10,0,1490,0,0,100,0,0,0,0,0,0,4060,8180
ARUNACHAL PRADESH,2,CHANGLANG,842.74,590.62,191.87,60.25,446.15,96.22,38.47,580.84,322.16,83.15,38.47,443.78,15716,2799,18515,25,384,250,0,0,7295,2450,9745,24,384,228,1,0,548.48,226.85,41.36,76.8,76.8,100,17.96,22.6,100,50,46.8,93.6,0,7181,114,0,98.44,0,2450,0,0,0,0,24444,9050
ARUNACHAL PRADESH,3,DIBANG VALLEY,90.02,63.88,21.47,4.67,58.87,24.62,4.16,87.65,37.45,12.45,3.58,53.48,1085,0,1085,0,102,27,0,0,1088,0,1088,0,40,20,1,0,34.86,32.64,93.63,32.98,10.8,32.75,2.22,0,0,0,0,0,0,1088,0,0,100,0,0,0,0,0,0,1297,4181
ARUNACHAL PRADESH,4,EAST KAMENG,440.35,306.8,102.83,30.72,266.78,92.23,8.84,367.85,185.21,43.96,8.84,238.01,7016,1280,8296,25,288,216,0,0,5576,1280,6856,2,288,216,0,0,221.03,92.82,41.99,57.6,90.3,100,18,5.32,29.56,50,2,4,0,5576,0,0,100,0,0,0,0,0,0,11078,2449
ARUNACHAL PRADESH,5,EAST SIANG,457.78,311.35,113.17,33.26,267.43,112.25,0,379.68,184,68.46,0,252.46,8222,4723,12945,25,244,42,6,0,4537,1718,6255,4,244,50,0,0,294.88,162.61,55.14,48.8,47.1,96.52,2.1,1.83,87.14,50,7.67,15.34,0,4537,0,0,100,0,1680,0,0,0,0,12904,1986
ARUNACHAL PRADESH,6,KURUNG KUMEY,1306.32,919.89,303.61,82.82,680.65,121.83,0,802.48,448.99,47.84,0,496.84,22036,0,22036,30,684,164,0,0,11671,0,11671,3,684,164,0,0,819.12,255.83,31.23,196.56,136.8,69.6,8.2,8.2,100,60,3.6,6,0,783,0,0,6.71,0,0,0,0,0,0,15417,2698
ARUNACHAL PRADESH,7,LOHIT,354.99,243.65,82.74,28.6,228.44,82.12,30.6,341.16,215.52,58.38,23.92,297.82,8800,0,8800,26,240,182,0,0,8560,1129,9689,25,240,182,1,0,145.53,136.29,93.65,48,48,100,9.9,9.26,93.54,52,41.89,80.56,0,8560,0,0,100,0,0,0,0,0,0,22412,8180
ARUNACHAL PRADESH,8,LOWER DIBANG VALLEY,112.32,78.68,26.4,7.24,71.37,43.78,4.98,120.13,49.22,23.41,4.34,76.97,2366,1200,3566,0,134,82,0,0,1521,1200,2721,0,134,82,0,0,50.92,40.47,79.48,28.66,20.74,72.37,4.5,4.86,100,0,0,0,0,1521,0,0,100,0,0,0,0,0,0,8626,0
ARUNACHAL PRADESH,9,LOWER SUBANSIRI,362.98,250.78,83.68,28.52,226.68,92.04,16.16,334.88,170.11,90.7,16.16,276.96,5766,1164,6930,26,232,119,3,0,4516,1164,5680,19,232,119,3,0,189.29,147.6,77.98,46.4,46.4,100,5.96,5.26,88.26,52,36.7,70.58,0,4516,0,0,100,0,0,0,0,0,0,12066,8616
