Date,State_Name,SL_No,District_Name,Sanction_Date,Reported_M_or_Y,Total_Projects_Outlay,ApprShare_Center,ApprShare_State,ApprShare_Beneficiary,Rof_Center,Rof_State,Rof_Beneficiary,Rof_Total,ExpReported_Center,ExpReported_State,ExpReported_Beneficiary,ExpReported_Total
3/15/2013,ANDHRA PRADESH,1,ADILABAD,11/6/2001,13-Feb,7845.08,5210.61,1918.19,716.28,3334.5,1026.28,632.57,4993.35,2385.43,1026.28,561.22,3972.93
3/15/2013,ANDHRA PRADESH,2,ANANTAPUR,11/6/2001,13-Jan,6308.72,4059.29,1394.66,854.77,2213.51,1456.5,1331.82,5001.83,1242.57,1456.41,1325.3,4024.28
3/15/2013,ANDHRA PRADESH,3,CHITTOOR,28-03-2000,13-Feb,7680.84,5036.09,1875.03,769.72,3909.82,1329.78,532.18,5771.78,2185.6,1130.92,532.18,3848.7
3/15/2013,ANDHRA PRADESH,4,CUDDAPAH,2/5/2003,13-Feb,6440.21,3924.41,1662.14,853.66,2763.6,1332.28,1357.02,5452.9,1682.6,1332,796.67,3811.27
3/15/2013,ANDHRA PRADESH,5,EAST GODAVARI,23-04-2002,13-Feb,9690.38,6324.81,2329.86,1035.71,5302.66,1886.72,1081.32,8270.7,4132.02,1886.18,1062.69,7080.9
3/15/2013,ANDHRA PRADESH,6,GUNTUR,23-04-2002,13-Feb,12563.94,6298.09,3611.81,2654.04,3986.24,1783.72,698.21,6468.17,2638.27,1783.72,698.21,5120.21
3/15/2013,ANDHRA PRADESH,7,KARIMNAGAR,13-02-2003,13-Feb,10849.48,7165.48,2612.85,1071.15,5602.87,1943.23,176.13,7722.23,5003.88,1939.23,176.13,7119.24
3/15/2013,ANDHRA PRADESH,8,KHAMMAM,25-11-1999,13-Feb,5033.95,3296.76,1226.56,510.63,2779.69,732.81,510.65,4023.15,2633.19,732.08,294.02,3659.29
3/15/2013,ANDHRA PRADESH,9,KRISHNA,13-02-2003,13-Feb,9115.68,5977.79,2174.82,963.07,3883.94,777.11,283.63,4944.68,2444.76,769.49,277.92,3492.18
3/15/2013,ANDHRA PRADESH,10,KURNOOL,23-04-2002,13-Feb,10196.49,6720.35,2491.52,984.62,4237.66,1719.21,573.54,6530.42,1925.44,1718.37,463.12,4106.94
3/15/2013,ANDHRA PRADESH,11,MAHBUBNAGAR,11/6/2001,13-Feb,12463.21,8267.19,3086.64,1109.38,5863.24,1830.56,857.51,8551.3,2865.64,1103.12,857.51,4826.26
3/15/2013,ANDHRA PRADESH,12,MEDAK,13-02-2003,13-Feb,9398.96,6237.97,2285.12,875.87,4003.9,1742.5,569.91,6316.31,3491.89,1662.05,495.76,5649.7
3/15/2013,ANDHRA PRADESH,13,NALGONDA,3/3/2000,13-Feb,4057.62,2623.6,973.78,460.24,2247.46,1390.03,663.87,4301.36,1820.97,646.98,471.93,2939.88
3/15/2013,ANDHRA PRADESH,14,NELLORE,11/6/2001,13-Feb,6774.39,4452.2,1705.65,616.54,3122.5,882.8,498.12,4503.42,1569.15,765.87,322.25,2657.27
3/15/2013,ANDHRA PRADESH,15,NIZAMABAD,11/6/2001,13-Feb,3563.44,2292.61,788.33,482.5,1939.81,1210.88,2155.82,5306.51,2381.02,1151.4,317.81,3850.23
3/15/2013,ANDHRA PRADESH,16,PRAKASAM,3/3/2000,13-Feb,11629.2,7674.58,2891.99,1062.63,4617.5,1000.81,199.74,5818.05,3362.34,999.67,198.88,4560.89
3/15/2013,ANDHRA PRADESH,17,RANGAREDDI,2/5/2003,13-Feb,5820.64,3846.08,1396.59,577.97,2979.96,1594.8,142.82,4717.58,1681.35,1568.93,128.32,3378.6
3/15/2013,ANDHRA PRADESH,18,SRIKAKULAM,2/5/2003,13-Feb,11000.93,7286.19,2778.43,936.31,3235.39,1183.51,113.87,4532.77,1465.65,673.93,113.86,2253.44
3/15/2013,ANDHRA PRADESH,19,VISAKHAPATNAM,2/5/2003,13-Feb,7601.64,5006.22,1857.77,737.65,3547.35,3980.8,432.83,7960.98,1693.39,3078.4,399.24,5171.03
3/15/2013,ANDHRA PRADESH,20,VIZIANAGARAM,11/6/2001,13-Feb,5074.86,3369.99,1205.77,499.1,2012.02,855.89,315.26,3183.17,1295.7,839.99,256.1,2391.78
3/15/2013,ANDHRA PRADESH,21,WARANGAL,23-04-2002,13-Feb,6027.11,3819.19,1309.33,898.59,2488.92,1044.29,184.76,3717.97,1449.34,534.32,184.76,2168.42
3/15/2013,ANDHRA PRADESH,22,WEST GODAVARI,12/3/2003,13-Feb,9050.9,5877.01,2264.52,909.37,4280.96,5850,1148.58,11279.54,3362.44,5437.7,1123.37,9923.5
3/15/2013,ANDHRA PRADESH,,Total :-,,,178187.67,114766.51,43841.36,19579.8,78353.5,36554.52,14460.15,129368.17,52712.65,32237.06,11057.23,96006.94
3/15/2013,ARUNACHAL PRADESH,1,ANJAW,15-01-2008,13-Feb,177.73,124.04,40.39,13.3,63.56,46.78,0,110.34,55.56,17.08,0,72.64
3/15/2013,ARUNACHAL PRADESH,2,CHANGLANG,23-11-2005,13-Feb,842.74,590.62,191.87,60.25,304.9,96.22,26.27,427.39,307.1,49.08,26.27,382.45
3/15/2013,ARUNACHAL PRADESH,3,DIBANG VALLEY,29-01-2002,13-Feb,90.02,63.88,21.47,4.67,54.51,24.62,4.16,83.29,35.32,11.61,3.58,50.52
3/15/2013,ARUNACHAL PRADESH,4,EAST KAMENG,23-11-2005,13-Feb,440.35,306.8,102.83,30.72,227.65,92.23,8.84,328.72,185.21,43.96,8.84,238.01
3/15/2013,ARUNACHAL PRADESH,5,EAST SIANG,23-11-2005,13-Feb,457.78,311.35,113.17,33.26,224.48,112.25,0,336.73,146.93,54.23,0,201.15
3/15/2013,ARUNACHAL PRADESH,6,KURUNG KUMEY,23-11-2005,13-Feb,1306.32,919.89,303.61,82.82,446.76,121.83,0,568.59,446.59,35.85,0,482.44
3/15/2013,ARUNACHAL PRADESH,7,LOHIT,3/3/2000,13-Feb,354.99,243.65,82.74,28.6,214.62,70.93,30.6,316.15,210.12,50.45,23,283.57
3/15/2013,ARUNACHAL PRADESH,8,LOWER DIBANG VALLEY,15-01-2008,13-Feb,112.32,78.68,26.4,7.24,64.94,26.93,4.26,96.13,41.32,20.28,3.76,65.35
3/15/2013,ARUNACHAL PRADESH,9,LOWER SUBANSIRI,23-11-2005,13-Feb,362.98,250.78,83.68,28.52,203.1,92.04,16.16,311.3,148.82,44.82,16.16,209.8
