Date,State_Name,SL_No,District_Name,Date_of_Sanction,Project_Cost_Lakhs,ApprShare_Central,ApprShare_State,ApprShare_Beneficiary,CompSanc_IHHL_BPL,CompSanc_IHHL_APL,CompSanc_IHHL_TOTAL,CompSanc_IHHL_SCW,CompSanc_School_Toilets,CompSanc_Anganwadi_Toilets,CompSanc_RSM_PC
3/15/2013,ANDHRA PRADESH,1,ADILABAD,11/6/2001,7845.08,5210.61,1918.19,716.28,247475,148181,395656,0,4462,427,10
3/15/2013,ANDHRA PRADESH,2,ANANTAPUR,11/6/2001,6308.72,4059.29,1394.66,854.77,363314,181335,544649,0,3421,284,10
3/15/2013,ANDHRA PRADESH,3,CHITTOOR,28-03-2000,7680.84,5036.09,1875.03,769.72,296465,236986,533451,0,8171,375,10
3/15/2013,ANDHRA PRADESH,4,CUDDAPAH,2/5/2003,6440.21,3924.41,1662.14,853.66,251653,251610,503263,0,6802,277,10
3/15/2013,ANDHRA PRADESH,5,EAST GODAVARI,23-04-2002,9690.38,6324.81,2329.86,1035.71,370255,191400,561655,50,7004,1164,10
3/15/2013,ANDHRA PRADESH,6,GUNTUR,23-04-2002,12563.94,6298.09,3611.81,2654.04,370996,319053,690049,0,5346,215,10
3/15/2013,ANDHRA PRADESH,7,KARIMNAGAR,13-02-2003,10849.48,7165.48,2612.85,1071.15,365267,219763,585030,0,5848,298,10
3/15/2013,ANDHRA PRADESH,8,KHAMMAM,25-11-1999,5033.95,3296.76,1226.56,510.63,189225,4860,194085,0,6318,521,10
3/15/2013,ANDHRA PRADESH,9,KRISHNA,13-02-2003,9115.68,5977.79,2174.82,963.07,351572,175991,527563,17,3374,62,10
3/15/2013,ANDHRA PRADESH,10,KURNOOL,23-04-2002,10196.49,6720.35,2491.52,984.62,383478,129956,513434,0,4669,2111,10
3/15/2013,ANDHRA PRADESH,11,MAHBUBNAGAR,11/6/2001,12463.21,8267.19,3086.64,1109.38,418559,66032,484591,3,5433,357,10
3/15/2013,ANDHRA PRADESH,12,MEDAK,13-02-2003,9398.96,6237.97,2285.12,875.87,311743,96490,408233,50,5446,1873,10
3/15/2013,ANDHRA PRADESH,13,NALGONDA,3/3/2000,4057.62,2623.6,973.78,460.24,215058,156761,371819,0,6628,44,10
3/15/2013,ANDHRA PRADESH,14,NELLORE,11/6/2001,6774.39,4452.2,1705.65,616.54,226725,116678,343403,0,6415,1396,10
