Date,State,Serial,District,HH_PER-BASE_TOTAL,HH_PER-BASE_SC,HH_PER-BASE_ST,BPL_WT,BPL_WOT,APL_WT,APL_WOT,APL+BPL_WT,APL+BPL_WOT,SCH_WT,SCH_WOT,ANGAN_WT,ANGAN_WOT,SAN_WT,SAN_WOT
3/8/2013,ANDHRA PRADESH,1,ADILABAD,406468,77928,72158,13312,261726,4528,126578,17840,388304,324,1015,121,306,0,0
3/8/2013,ANDHRA PRADESH,2,ANANTAPUR,715128,68153,22310,274192,246023,101502,93411,375694,339434,2233,622,243,283,8,0
3/8/2013,ANDHRA PRADESH,3,CHITTOOR,605121,156660,37265,190200,295716,73042,46163,263242,341879,2786,1899,308,361,0,0
3/8/2013,ANDHRA PRADESH,4,CUDDAPAH,467792,90250,18600,166663,251494,23065,26570,189728,278064,2913,1732,403,238,0,0
3/8/2013,ANDHRA PRADESH,5,EAST GODAVARI,1066661,215894,47999,219974,303755,393587,149345,613561,453100,1736,2117,771,931,6,42
3/8/2013,ANDHRA PRADESH,6,GUNTUR,782238,155032,39795,180184,367363,94379,140312,274563,507675,2508,1173,300,214,1,0
3/8/2013,ANDHRA PRADESH,7,KARIMNAGAR,689887,132072,24393,71358,311460,172056,135013,243414,446473,749,2314,285,271,0,0
3/8/2013,ANDHRA PRADESH,8,KHAMMAM,554816,100518,161491,264529,183431,102794,4171,367323,187602,3112,39,787,428,1,0
3/8/2013,ANDHRA PRADESH,9,KRISHNA,751132,154600,25810,67505,351572,238669,93386,306174,444958,1525,3374,429,62,0,1
3/8/2013,ANDHRA PRADESH,10,KURNOOL,588903,118755,13540,113630,312183,35046,128044,148676,440227,1493,918,0,421,19,0
3/8/2013,ANDHRA PRADESH,11,MAHBUBNAGAR,622104,71884,112368,116059,415768,40090,50187,156149,465955,1460,1136,38,124,0,0
3/8/2013,ANDHRA PRADESH,12,MEDAK,439672,101701,30220,93949,311743,22094,11886,116043,323629,1766,1063,375,940,2,0
3/8/2013,ANDHRA PRADESH,13,NALGONDA,599022,40875,14035,151076,214790,103578,129578,254654,344368,1915,1368,588,43,0,0
3/8/2013,ANDHRA PRADESH,14,NELLORE,462284,117945,58015,88440,226725,35594,111525,124034,338250,2747,340,559,362,3,0
3/8/2013,ANDHRA PRADESH,15,NIZAMABAD,477685,57733,15834,123201,225519,119491,9474,242692,234993,1039,1438,401,32,0,0
3/8/2013,ANDHRA PRADESH,16,PRAKASAM,687083,136917,25639,76962,252004,206763,151354,283725,403358,2188,1070,578,80,0,0
3/8/2013,ANDHRA PRADESH,17,RANGAREDDI,378238,76675,24516,110984,170921,68327,28006,179311,198927,796,575,349,466,0,0
3/8/2013,ANDHRA PRADESH,18,SRIKAKULAM,560858,49017,28719,62347,302221,25155,171135,87502,473356,306,1176,17,259,0,1
3/8/2013,ANDHRA PRADESH,19,VISAKHAPATNAM,588402,185782,154403,141743,252749,41633,152277,183376,405026,1475,4495,243,0,2,0
3/8/2013,ANDHRA PRADESH,20,VIZIANAGARAM,475573,49897,42960,90892,193302,14171,177208,105063,370510,559,146,86,0,0,4
3/8/2013,ANDHRA PRADESH,21,WARANGAL,205322,192120,137555,83572,75577,26776,19397,110348,94974,207,2104,93,65,1,0
3/8/2013,ANDHRA PRADESH,22,WEST GODAVARI,887247,161390,18632,277550,252275,229183,128239,506733,380514,904,1694,434,151,134,385
3/8/2013,ANDHRA PRADESH,,"Total 
                        :-",13011636,2511798,1126257,2978322,5778317,2171523,2083259,5149845,7861576,34741,31808,7408,6037,177,433
3/8/2013,ARUNACHAL PRADESH,1,ANJAW,3893,0,3893,661,3232,0,0,661,3232,17,37,0,33,0,0
3/8/2013,ARUNACHAL PRADESH,2,CHANGLANG,9971,0,9318,138,7035,2777,21,2915,7056,0,193,0,250,0,25
3/8/2013,ARUNACHAL PRADESH,3,DIBANG VALLEY,1081,4,975,0,1081,0,0,0,1081,15,9,0,0,0,0
3/8/2013,ARUNACHAL PRADESH,4,EAST KAMENG,8225,0,0,1943,3463,2688,131,4631,3594,0,1,0,2,0,0
3/8/2013,ARUNACHAL PRADESH,5,EAST SIANG,8853,0,8853,0,8020,145,688,145,8708,5,46,0,42,6,0
3/8/2013,ARUNACHAL PRADESH,6,KURUNG KUMEY,17061,0,17058,0,17024,37,0,37,17024,12,115,0,0,0,0
3/8/2013,ARUNACHAL PRADESH,7,LOHIT,11999,0,11999,824,8138,3037,0,3861,8138,21,129,22,159,0,7
3/8/2013,ARUNACHAL PRADESH,8,LOWER DIBANG VALLEY,3602,0,3602,869,1494,382,857,1251,2351,54,7,67,8,0,0
3/8/2013,ARUNACHAL PRADESH,9,LOWER SUBANSIRI,8543,0,8543,414,5766,1199,1164,1613,6930,0,123,1,119,0,10
3/8/2013,ARUNACHAL PRADESH,10,PAPUM PARE,1257,0,6928,0,1257,0,0,0,1257,151,58,122,42,0,0
3/8/2013,ARUNACHAL PRADESH,11,TAWANG,5705,0,5555,0,4019,496,1190,496,5209,6,86,1,13,2,0
3/8/2013,ARUNACHAL PRADESH,12,TIRAP,14322,0,14322,8344,5494,383,101,8727,5595,0,254,0,150,0,0
3/8/2013,ARUNACHAL PRADESH,13,UPPER SIANG,4087,0,4087,213,2560,350,964,563,3524,5,76,2,50,0,2
3/8/2013,ARUNACHAL PRADESH,14,UPPER SUBANSIRI,9013,0,9013,23,8989,0,1,23,8990,53,154,2,221,0,0
3/8/2013,ARUNACHAL PRADESH,15,WEST KAMENG,6549,0,6549,751,4961,600,237,1351,5198,191,0,107,4,2,2
3/8/2013,ARUNACHAL PRADESH,16,WEST SIANG,12871,0,12851,29,11447,1395,0,1424,11447,2,255,6,1,0,0
3/8/2013,ARUNACHAL PRADESH,,"Total 
                        :-",127032,4,123546,14209,93980,13489,5354,27698,99334,532,1543,330,1094,10,46
3/8/2013,ASSAM,1,BAGSHA,5005,235,282,0,1450,3019,536,3019,1986,24,12,0,28,0,0
3/8/2013,ASSAM,2,BARPETA,216871,0,0,0,106487,17315,93069,17315,199556,104,1806,1,175,0,0
3/8/2013,ASSAM,3,BONGAIGAON,95653,10313,3437,2015,51929,10185,31524,12200,83453,229,1222,4,59,0,0
3/8/2013,ASSAM,4,CACHAR,180958,33496,7150,2104,119931,12630,46293,14734,166224,70,1839,0,1697,0,0
3/8/2013,ASSAM,5,DARRANG,113721,5810,5567,0,79139,9641,24941,9641,104080,0,673,0,243,0,0
3/8/2013,ASSAM,6,DHEMAJI,104463,225,2262,715,80854,4513,18381,5228,99235,29,850,0,230,0,0
3/8/2013,ASSAM,7,DHUBRI,271266,6989,2150,1713,194324,39172,36057,40885,230381,460,1012,44,576,0,0
3/8/2013,ASSAM,8,DIBRUGARH,202039,6267,21338,2650,57122,96883,45384,99533,102506,219,969,28,606,0,0
3/8/2013,ASSAM,9,GOALPARA,89251,5922,16952,1317,65070,6064,16800,7381,81870,87,1840,175,804,0,0
3/8/2013,ASSAM,10,GOLAGHAT,122906,8602,10650,7486,79743,8646,27031,16132,106774,90,1086,46,119,0,0
3/8/2013,ASSAM,11,HAILAKANDI,64396,5425,257,472,49837,1642,12445,2114,62282,2,1126,0,35,0,0
3/8/2013,ASSAM,12,JORHAT,129054,13261,17504,11512,58739,37056,21747,48568,80486,601,1609,417,951,0,0
3/8/2013,ASSAM,13,KAMRUP,230279,29712,25829,32686,85783,60425,51385,93111,137168,1455,442,40,1531,12,0
3/8/2013,ASSAM,14,KARBI ANGLONG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/8/2013,ASSAM,15,KARIMGANJ,97153,1264,12,275,78992,2477,15409,2752,94401,360,1051,0,912,0,0
3/8/2013,ASSAM,16,KOKRAJHAR,33387,1356,12783,56,17284,7725,8322,7781,25606,11,293,0,63,0,0
3/8/2013,ASSAM,17,LAKHIMPUR,126421,13329,33431,16063,73224,14452,22682,30515,95906,286,1415,4,268,0,0
