Date,State_Name,SL_No,District_Name,Sanction_Date,Reported_Month_Year,PO_IHHL_BPL,PO_IHHL_APL,PO_IHHL_TOTAL,PO_SCW,PO_School_Toilets,PO_Anganwadi_Toilets,PO_RSM,PO_PC,PP_IHHL_BPL,PP_IHHL_APL,PP_IHHL_TOTAL,PP_SCW,PP_School_Toilets,PP_Anganwadi_Toilets,PP_RSM,PP_PC
03-12-2012,ANDHRA PRADESH,1,ADILABAD,11-06-2001,Oct-12,247475,148181,395656,0,4462,427,10,0,171179,52431,223610,0,4462,192,0,0
03-12-2012,ANDHRA PRADESH,2,ANANTAPUR,11-06-2001,Nov-12,363314,181335,544649,0,3421,284,10,0,366557,42000,408557,0,4258,302,0,0
03-12-2012,ANDHRA PRADESH,3,CHITTOOR,28-03-2000,Nov-12,296465,236986,533451,0,8171,375,10,0,260108,139905,400013,0,8171,375,11,0
03-12-2012,ANDHRA PRADESH,4,CUDDAPAH,02-05-2003,Nov-12,251653,251610,503263,0,6802,277,10,0,235386,124993,360379,0,5002,277,0,0
03-12-2012,ANDHRA PRADESH,5,EAST GODAVARI,23-04-2002,Nov-12,370255,191400,561655,50,7004,1164,10,0,343451,191400,534851,49,7004,732,20,0
03-12-2012,ANDHRA PRADESH,6,GUNTUR,23-04-2002,Nov-12,370996,319053,690049,0,5346,215,10,0,269512,85950,355462,0,5004,215,37,0
03-12-2012,ANDHRA PRADESH,7,KARIMNAGAR,13-02-2003,Nov-12,365267,219763,585030,0,5848,298,10,0,354519,62995,417514,0,5848,298,13,0
03-12-2012,ANDHRA PRADESH,8,KHAMMAM,25-11-1999,Oct-12,189225,4860,194085,0,6318,521,10,0,175125,4870,179995,0,6318,521,15,10
03-12-2012,ANDHRA PRADESH,9,KRISHNA,13-02-2003,Nov-12,351572,175991,527563,17,3374,62,10,0,316950,104197,421147,8,3374,171,40,0
03-12-2012,ANDHRA PRADESH,10,KURNOOL,23-04-2002,Nov-12,383478,129956,513434,0,4669,2111,10,0,310629,173773,484402,13,4669,213,49,0
03-12-2012,ANDHRA PRADESH,11,MAHBUBNAGAR,11-06-2001,Nov-12,418559,66032,484591,3,5433,357,10,0,228726,263280,492006,9,5434,357,15,0
03-12-2012,ANDHRA PRADESH,12,MEDAK,13-02-2003,Nov-12,311743,96490,408233,50,5446,1873,10,0,306495,47977,354472,8,4752,760,10,0
03-12-2012,ANDHRA PRADESH,13,NALGONDA,03-03-2000,Nov-12,215058,156761,371819,0,6628,44,10,0,211533,87693,299226,0,6015,300,10,10
03-12-2012,ANDHRA PRADESH,14,NELLORE,11-06-2001,Nov-12,226725,116678,343403,0,6415,1396,10,0,166236,19462,185698,0,5760,465,0,0
03-12-2012,ANDHRA PRADESH,15,NIZAMABAD,11-06-2001,Nov-12,225519,9474,234993,0,2477,32,10,0,225519,64759,290278,0,2477,32,36,0
03-12-2012,ANDHRA PRADESH,16,PRAKASAM,03-03-2000,Nov-12,386617,193493,580110,0,7224,780,10,0,297643,141608,439251,0,6772,690,41,0
03-12-2012,ANDHRA PRADESH,17,RANGAREDDI,02-05-2003,Nov-12,212629,71610,284239,0,3726,467,10,0,172162,69147,241309,0,3726,467,10,0
03-12-2012,ANDHRA PRADESH,18,SRIKAKULAM,02-05-2003,Nov-12,302221,225272,527493,40,6398,266,10,0,113666,82270,195936,11,5556,128,15,3
03-12-2012,ANDHRA PRADESH,19,VISAKHAPATNAM,02-05-2003,Nov-12,252875,156460,409335,20,5074,0,10,0,178476,75765,254241,20,6378,451,0,0
03-12-2012,ANDHRA PRADESH,20,VIZIANAGARAM,11-06-2001,Nov-12,220051,245678,465729,10,2999,1668,10,0,166474,159984,326458,7,3368,350,12,0
