Date,State_Name,SL_No,District_Name,SancAmt_Total,SancAmt_Center_Share,ReleaseAmt_Instal_No,ReleaseAmt_Instal_Part,ReleaseAmt_Date,ReleaseAmt_General,ReleaseAmt_SC,ReleaseAmt_ST,ReleaseAmt_Total
2/18/2013,ANDHRA PRADESH,1,ADILABAD,7845.08,5210.61,2,4,17-05-2012,680.66,301.6,134.12,1116.38
2/18/2013,ANDHRA PRADESH,2,CHITTOOR,7680.84,5036.09,3,2,17-05-2012,350.64,151.53,10.83,513
2/18/2013,ANDHRA PRADESH,3,EAST GODAVARI,9690.38,6324.81,4,1,17-05-2012,223.12,89.4,8.61,321.13
2/18/2013,ANDHRA PRADESH,4,GUNTUR,12563.94,6298.09,3,2,17-05-2012,932.09,412.56,41.15,1385.8
2/18/2013,ANDHRA PRADESH,5,KARIMNAGAR,10849.48,7165.48,3,3,17-05-2012,489.36,196.34,11.19,696.89
2/18/2013,ANDHRA PRADESH,6,KHAMMAM,5033.95,3296.76,3,4,17-05-2012,90.8,36.96,26.51,154.27
2/18/2013,ANDHRA PRADESH,7,KRISHNA,9115.68,5977.79,2,4,17-05-2012,829.83,381.55,21.29,1232.67
2/18/2013,ANDHRA PRADESH,8,KURNOOL,10196.49,6720.35,3,1,17-05-2012,1080.28,393.71,17.74,1491.73
2/18/2013,ANDHRA PRADESH,9,MAHBUBNAGAR,12463.21,8267.19,3,3,17-05-2012,906.04,330.53,62.63,1299.2
2/18/2013,ANDHRA PRADESH,10,MEDAK,9398.96,6237.97,3,1,17-05-2012,934.51,350.59,41.81,1326.91
2/18/2013,ANDHRA PRADESH,11,NALGONDA,4057.62,2623.6,3,3,17-05-2012,63.21,24.5,6.03,93.74
2/18/2013,ANDHRA PRADESH,12,NELLORE,6774.39,4452.2,2,3,17-05-2012,433.97,253.66,41.2,728.83
2/18/2013,ANDHRA PRADESH,13,NIZAMABAD,3563.44,2292.61,3,1,17-05-2012,73.66,23.4,4.74,101.8
2/18/2013,ANDHRA PRADESH,14,PRAKASAM,11629.2,7674.58,3,1,17-05-2012,1054.77,518.72,34.04,1607.53
2/18/2013,ANDHRA PRADESH,15,RANGAREDDI,5820.64,3846.08,3,2,17-05-2012,266.34,114.22,16.07,396.63
2/18/2013,ANDHRA PRADESH,16,SRIKAKULAM,11000.93,7286.19,2,4,17-05-2012,782.75,119.16,34.14,936.05
2/18/2013,ANDHRA PRADESH,17,VISAKHAPATNAM,7601.64,5006.22,2,4,17-05-2012,608.25,78.89,102.32,789.46
2/18/2013,ANDHRA PRADESH,18,WEST GODAVARI,9050.9,5877.01,3,4,17-05-2012,572.67,244.61,13.39,830.67
2/18/2013,ANDHRA PRADESH,18,Total,154336.77,99593.63,,,,10372.95,4021.93,627.81,15022.69
2/18/2013,ARUNACHAL PRADESH,1,DIBANG VALLEY,90.02,63.88,1,4,28-08-2012,1.8,0.3,1.43,3.53
2/18/2013,ARUNACHAL PRADESH,2,EAST KAMENG,440.35,306.8,1,4,28-08-2012,9.78,--,38.67,48.45
2/18/2013,ARUNACHAL PRADESH,3,EAST SIANG,457.78,311.35,2,1,28-08-2012,16.72,0.14,38.89,55.75
2/18/2013,ARUNACHAL PRADESH,4,LOHIT,354.99,243.65,2,1,28-08-2012,3.23,0.6,1.91,5.74
2/18/2013,ARUNACHAL PRADESH,5,LOWER DIBANG VALLEY,112.32,78.68,1,4,28-08-2012,3.45,0.4,2.73,6.58
2/18/2013,ARUNACHAL PRADESH,6,TAWANG,321.84,224.27,1,4,28-08-2012,8.64,0.5,27.04,36.18
2/18/2013,ARUNACHAL PRADESH,7,TIRAP,403.07,280.89,1,4,28-08-2012,9.37,0.1,36.07,45.54
2/18/2013,ARUNACHAL PRADESH,8,UPPER SUBANSIRI,467.27,323.21,2,1,28-08-2012,2.96,--,13.99,16.95
2/18/2013,ARUNACHAL PRADESH,9,WEST KAMENG,387.3,269.67,2,2,28-08-2012,4.47,0.5,3.46,8.43
2/18/2013,ARUNACHAL PRADESH,9,Total,3034.94,2102.4,,,,60.42,2.54,164.19,227.15
2/18/2013,ASSAM,1,BAGSHA,3930.13,2769.19,2,2,24-08-2012,92.5,10.81,19.1,122.41
2/18/2013,ASSAM,2,DIBRUGARH,3021.96,2136.12,2,2,24-08-2012,65.45,3.1,5.26,73.81
2/18/2013,ASSAM,3,GOALPARA,2837.73,2002.27,2,3,24-08-2012,54.37,3.48,10.12,67.97
2/18/2013,ASSAM,4,GOLAGHAT,3133.34,2179.53,3,1,24-08-2012,67.81,5.27,7.34,80.42
2/18/2013,ASSAM,5,HAILAKANDI,1737.93,1215.24,2,4,24-08-2012,27.5,4.24,0.04,31.78
2/18/2013,ASSAM,6,JORHAT,3071.84,2172.7,1,4,24-08-2012,353.7,44.61,57.52,455.83
2/18/2013,ASSAM,7,KAMRUP,3018.34,2129.06,2,2,24-08-2012,49.33,5.39,7.23,61.95
2/18/2013,ASSAM,8,KARIMGANJ,2672.51,1865.25,2,3,24-08-2012,64.68,11.9,0.18,76.76
2/18/2013,ASSAM,9,KOKRAJHAR,2979.14,2075.89,2,3,24-08-2012,44.84,2.32,20.31,67.47
2/18/2013,ASSAM,10,LAKHIMPUR,3024.58,2138.81,2,2,24-08-2012,28.88,4.08,9.07,42.03
2/18/2013,ASSAM,11,MARIGAON,1802.88,1249.95,2,3,24-08-2012,10.51,2.28,2.02,14.81
2/18/2013,ASSAM,12,NALBARI,3139.74,2195.41,1,4,24-08-2012,330.48,38.62,68.23,437.33
2/18/2013,ASSAM,13,SIBSAGAR,3209.83,2259.72,2,2,24-08-2012,77.3,3.06,3.03,83.39
2/18/2013,ASSAM,14,SONITPUR,4851,3387.94,2,4,24-08-2012,163.08,12.03,21.72,196.83
2/18/2013,ASSAM,15,TINSUKIA,2840.31,1984.83,2,2,24-08-2012,348.35,9.97,22.97,381.29
2/18/2013,ASSAM,16,UDALGURI,4038.66,2841.7,1,4,24-08-2012,436.88,51.05,90.2,578.13
2/18/2013,ASSAM,16,Total,49309.92,34603.61,,,,2215.66,212.21,344.34,2772.21
2/18/2013,BIHAR,1,ARARIA,4630.29,3129.75,2,2,31-05-2012,415.66,100.89,4.14,520.69
2/18/2013,BIHAR,2,ARWAL,2565.43,1738.33,2,2,31-05-2012,164.61,60.57,0.1,225.28
2/18/2013,BIHAR,3,AURANGABAD,7219.24,4914.68,2,2,31-05-2012,547.5,284.67,0.34,832.51
