Date,State_Name,SL_No,District_Name,Outlay,Amt. Released Centre,Amt. Released State,Amt. Released Beneficiary,Amt. Released Total,Expenditure Centre,Expenditure State,Expenditure Beneficiary,Expenditure Total,IHHL construction BPL,IHHL construction APL,IHHL construction Total,Construction SCW,Construction School toilets,Construction Nursery toilets,Construction RSMs,Construction PCs,Total Expenditure BPL Toilets,Total Expenditure School Toilets,Total Expenditure Nursery toilets,Total Expenditure SCWs
29-May-2013,ANDHRA PRADESH,1,ADILABAD,0,0,0,0,0,28.8,0,0,28.8,342,0,342,0,568,0,0,0,2.74,25,0,0
29-May-2013,ANDHRA PRADESH,2,ANANTAPUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,ANDHRA PRADESH,3,CHITTOOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,ANDHRA PRADESH,4,CUDDAPAH,0,0,0,0,0,3.75,0,0,3.75,1307,0,1307,0,0,0,0,0,2.59,0,0,0
29-May-2013,ANDHRA PRADESH,5,EAST GODAVARI,0,0,0,0,0,0,0,0,0,150,0,150,0,0,0,0,0,0,0,0,0
29-May-2013,ANDHRA PRADESH,6,GUNTUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,ANDHRA PRADESH,7,KARIMNAGAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,ANDHRA PRADESH,8,KHAMMAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,ANDHRA PRADESH,9,KRISHNA,0,0,0,0,0,0,0,0,0,475,0,475,0,0,0,0,0,0,0,0,0
29-May-2013,ANDHRA PRADESH,10,KURNOOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,ANDHRA PRADESH,11,MAHBUBNAGAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,ANDHRA PRADESH,12,MEDAK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,ANDHRA PRADESH,13,NALGONDA,0,0,0,0,0,16.65,5.96,3.83,26.45,0,0,0,0,0,0,0,0,23.44,0,0,0
29-May-2013,ANDHRA PRADESH,14,NELLORE,0,0,0,0,0,2.5,0.2,0,2.7,1123,0,1123,0,0,0,0,0,0,0.67,0,0
29-May-2013,ANDHRA PRADESH,15,NIZAMABAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,ANDHRA PRADESH,16,PRAKASAM,0,0,0,0,0,1.67,0.13,0,1.8,400,0,400,0,39,0,0,0,0,0,0,0
29-May-2013,ANDHRA PRADESH,17,RANGAREDDI,0,0,0,0,0,48.48,0.89,0,49.38,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,ANDHRA PRADESH,18,SRIKAKULAM,0,0,0,0,0,2.17,0.63,0,2.8,0,0,0,0,0,0,0,0,2.81,0,0,0
29-May-2013,ANDHRA PRADESH,19,VISAKHAPATNAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,ANDHRA PRADESH,20,VIZIANAGARAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,ANDHRA PRADESH,21,WARANGAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,ANDHRA PRADESH,22,WEST GODAVARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,ARUNACHAL PRADESH,1,ANJAW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,ARUNACHAL PRADESH,2,CHANGLANG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,ARUNACHAL PRADESH,3,DIBANG VALLEY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,ARUNACHAL PRADESH,4,EAST KAMENG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,ARUNACHAL PRADESH,5,EAST SIANG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,ARUNACHAL PRADESH,6,KURUNG KUMEY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,ARUNACHAL PRADESH,7,LOHIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,ARUNACHAL PRADESH,8,LOWER DIBANG VALLEY,0,0,3.45,0,3.45,2.58,0.95,0,3.53,0,0,0,0,0,0,0,0,3.53,0,0,0
29-May-2013,ARUNACHAL PRADESH,9,LOWER SUBANSIRI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,ARUNACHAL PRADESH,10,PAPUM PARE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,ARUNACHAL PRADESH,11,TAWANG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,ARUNACHAL PRADESH,12,TIRAP,0,0,0,0,0,1.22,0.45,0,1.67,0,0,0,0,0,0,0,0,0,0,0,1.6
29-May-2013,ARUNACHAL PRADESH,13,UPPER SIANG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,ARUNACHAL PRADESH,14,UPPER SUBANSIRI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,ARUNACHAL PRADESH,15,WEST KAMENG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,ARUNACHAL PRADESH,16,WEST SIANG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,ASSAM,1,BAGSHA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,ASSAM,2,BARPETA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,ASSAM,3,BONGAIGAON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,ASSAM,4,CACHAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,ASSAM,5,CHIRANG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,ASSAM,6,DARRANG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,ASSAM,7,DHEMAJI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,ASSAM,8,DHUBRI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,ASSAM,9,DIBRUGARH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,ASSAM,10,GOALPARA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,ASSAM,11,GOLAGHAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,ASSAM,12,HAILAKANDI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,ASSAM,13,JORHAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,ASSAM,14,KAMRUP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-May-2013,ASSAM,15,KARBI ANGLONG,0,0,16.65,0,16.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
