Date,State_Name,District_Name,Rural_Households,Census_2001_IHHL
06-03-13,ANDHRA PRADESH,ADILABAD,473949,44311
06-03-13,ANDHRA PRADESH,ANANTAPUR,698439,70929
06-03-13,ANDHRA PRADESH,CHITTOOR,727635,94962
06-03-13,ANDHRA PRADESH,CUDDAPAH,475919,77225
06-03-13,ANDHRA PRADESH,EAST GODAVARI,1063044,231280
06-03-13,ANDHRA PRADESH,GUNTUR,877109,199735
06-03-13,ANDHRA PRADESH,KARIMNAGAR,746956,107825
06-03-13,ANDHRA PRADESH,KHAMMAM,578490,87256
06-03-13,ANDHRA PRADESH,KRISHNA,754361,233301
06-03-13,ANDHRA PRADESH,KURNOOL,630786,86436
06-03-13,ANDHRA PRADESH,MAHBUBNAGAR,750446,85960
06-03-13,ANDHRA PRADESH,MEDAK,511576,71449
06-03-13,ANDHRA PRADESH,NALGONDA,720569,107110
06-03-13,ANDHRA PRADESH,NELLORE,567914,87984
06-03-13,ANDHRA PRADESH,NIZAMABAD,462799,63145
06-03-13,ANDHRA PRADESH,PRAKASAM,692542,93185
06-03-13,ANDHRA PRADESH,RANGAREDDI,352247,47862
06-03-13,ANDHRA PRADESH,SRIKAKULAM,580048,47635
06-03-13,ANDHRA PRADESH,VISAKHAPATNAM,583474,68708
06-03-13,ANDHRA PRADESH,VIZIANAGARAM,475145,34909
06-03-13,ANDHRA PRADESH,WARANGAL,652254,89391
06-03-13,ANDHRA PRADESH,WEST GODAVARI,870607,233584
06-03-13,ARUNACHAL PRADESH,ANJAW,4060,8180
06-03-13,ARUNACHAL PRADESH,CHANGLANG,24444,9050
06-03-13,ARUNACHAL PRADESH,DIBANG VALLEY,1297,4181
06-03-13,ARUNACHAL PRADESH,EAST KAMENG,11078,2449
06-03-13,ARUNACHAL PRADESH,EAST SIANG,12904,1986
06-03-13,ARUNACHAL PRADESH,KURUNG KUMEY,15417,2698
06-03-13,ARUNACHAL PRADESH,LOHIT,22412,8180
06-03-13,ARUNACHAL PRADESH,LOWER DIBANG VALLEY,8626,0
06-03-13,ARUNACHAL PRADESH,LOWER SUBANSIRI,12066,8616
06-03-13,ARUNACHAL PRADESH,PAPUM PARE,13537,6114
06-03-13,ARUNACHAL PRADESH,TAWANG,7891,5557
06-03-13,ARUNACHAL PRADESH,TIRAP,15458,6355
06-03-13,ARUNACHAL PRADESH,UPPER SIANG,5652,1899
06-03-13,ARUNACHAL PRADESH,UPPER SUBANSIRI,12952,4116
06-03-13,ARUNACHAL PRADESH,WEST KAMENG,12542,5055
06-03-13,ARUNACHAL PRADESH,WEST SIANG,15387,9985
06-03-13,ASSAM,BAGSHA,188191,0
06-03-13,ASSAM,BARPETA,306688,190588
06-03-13,ASSAM,BONGAIGAON,124874,65431
06-03-13,ASSAM,CACHAR,299194,182908
06-03-13,ASSAM,CHIRANG,89657,0
06-03-13,ASSAM,DARRANG,175393,120945
06-03-13,ASSAM,DHEMAJI,119112,31371
06-03-13,ASSAM,DHUBRI,370734,119216
06-03-13,ASSAM,DIBRUGARH,218256,133108
06-03-13,ASSAM,GOALPARA,168874,82698
06-03-13,ASSAM,GOLAGHAT,202469,101692
06-03-13,ASSAM,HAILAKANDI,133055,71986
06-03-13,ASSAM,JORHAT,181811,93180
06-03-13,ASSAM,KAMRUP,274590,155852
06-03-13,ASSAM,KARBI ANGLONG,152873,53477
06-03-13,ASSAM,KARIMGANJ,223720,141643
06-03-13,ASSAM,KOKRAJHAR,168278,32373
06-03-13,ASSAM,LAKHIMPUR,181790,77547
06-03-13,ASSAM,MARIGAON,169007,66198
06-03-13,ASSAM,NAGAON,480208,265792
06-03-13,ASSAM,NALBARI,137639,102544
06-03-13,ASSAM,NORTH CACHAR HILLS,29499,11354
06-03-13,ASSAM,SIBSAGAR,220760,128131
06-03-13,ASSAM,SONITPUR,346401,156319
06-03-13,ASSAM,TINSUKIA,209603,129451
06-03-13,ASSAM,UDALGURI,159630,11248
06-03-13,BIHAR,ARARIA,529611,22000
06-03-13,BIHAR,ARWAL,109546,51693
06-03-13,BIHAR,AURANGABAD,351828,43201
06-03-13,BIHAR,BANKA,366656,22999
06-03-13,BIHAR,BEGUSARAI,488062,87731
06-03-13,BIHAR,BHAGALPUR,458960,62725
06-03-13,BIHAR,BHOJPUR,357782,39691
06-03-13,BIHAR,BUXAR,236453,23179
06-03-13,BIHAR,DARBHANGA,732270,108176
06-03-13,BIHAR,GAYA,603194,69424
06-03-13,BIHAR,GOPALGANJ,396391,29332
06-03-13,BIHAR,JAMUI,283684,22633
06-03-13,BIHAR,JEHANABAD,159632,51693
06-03-13,BIHAR,KAIMUR(BHABUA),235155,19717
06-03-13,BIHAR,KATIHAR,563679,44047
06-03-13,BIHAR,KHAGARIA,312199,33671
06-03-13,BIHAR,KISHANGANJ,304695,11358
06-03-13,BIHAR,LAKHISARAI,140728,19384
06-03-13,BIHAR,MADHEPURA,383792,22332
06-03-13,BIHAR,MADHUBANI,871575,84580
06-03-13,BIHAR,MUNGER,193801,28885
06-03-13,BIHAR,MUZAFFARPUR,859579,98634
06-03-13,BIHAR,NALANDA,411602,72141
06-03-13,BIHAR,NAWADA,313669,38385
06-03-13,BIHAR,PASHCHIM CHAMPARAN,635151,35333
06-03-13,BIHAR,PATNA,544392,112470
06-03-13,BIHAR,PURBA CHAMPARAN,913167,61652
06-03-13,BIHAR,PURNIA,576602,38177
06-03-13,BIHAR,SAHARSA,339776,25644
06-03-13,BIHAR,SAMASTIPUR,822111,79618
06-03-13,BIHAR,SARAN,585844,60825
06-03-13,BIHAR,SASARAM(ROHTAS),387316,48903
06-03-13,BIHAR,SHEIKHPURA,86465,14269
06-03-13,BIHAR,SHEOHAR,143121,12670
06-03-13,BIHAR,SITAMARHI,696184,79230
06-03-13,BIHAR,SIWAN,516701,49238
06-03-13,BIHAR,SUPAUL,420420,20775
06-03-13,BIHAR,VAISHALI,595165,66869
06-03-13,CHHATTISGARH,BASTAR(JAGDALPUR),265210,10756
06-03-13,CHHATTISGARH,BILASPUR,475742,18941
06-03-13,CHHATTISGARH,DANTEWADA,92379,5606
06-03-13,CHHATTISGARH,DHAMTARI,136570,5956
06-03-13,CHHATTISGARH,DURG,422563,19360
06-03-13,CHHATTISGARH,JANJGIR - CHAMPA,330103,12583
06-03-13,CHHATTISGARH,JASHPUR,175008,4588
06-03-13,CHHATTISGARH,KANKER,141247,9670
06-03-13,CHHATTISGARH,KAWARDHA(KABIRDHAM),158483,4717
06-03-13,CHHATTISGARH,KORBA,180798,6292
06-03-13,CHHATTISGARH,KORIYA,107424,4450
06-03-13,CHHATTISGARH,MAHASAMUND,230027,5158
06-03-13,CHHATTISGARH,RAIGARH,561916,16480
06-03-13,CHHATTISGARH,RAIPUR,309691,25979
06-03-13,CHHATTISGARH,RAJNANDGAON,256900,8246
06-03-13,CHHATTISGARH,SURGUJA,472991,15212
06-03-13,D & N HAVELI,DADRA AND NAGAR HAVELI,35408,5679
06-03-13,GOA,NORTH GOA,71412,38147
06-03-13,GOA,SOUTH GOA,53262,29716
06-03-13,GUJARAT,AHMEDABAD,228886,50330
06-03-13,GUJARAT,AMRELI,218891,60017
06-03-13,GUJARAT,ANAND,297069,81735
06-03-13,GUJARAT,BANAS KANTHA,479308,46059
06-03-13,GUJARAT,BHARUCH,217028,77289
06-03-13,GUJARAT,BHAVNAGAR,303727,43330
06-03-13,GUJARAT,DAHOD,294997,13652
06-03-13,GUJARAT,DANGS,43842,4385
06-03-13,GUJARAT,GANDHINAGAR,160460,52714
06-03-13,GUJARAT,JAMNAGAR,230295,36211
06-03-13,GUJARAT,JUNAGADH,346939,82934
06-03-13,GUJARAT,KACHCHH,285991,56846
06-03-13,GUJARAT,KHEDA,358132,4548
06-03-13,GUJARAT,MAHESANA,318040,82181
06-03-13,GUJARAT,NARMADA,109005,10859
06-03-13,GUJARAT,NAVSARI,203615,41610
06-03-13,GUJARAT,PANCH MAHALS,378617,29781
06-03-13,GUJARAT,PATAN,210593,37263
06-03-13,GUJARAT,PORBANDAR,63553,8130
06-03-13,GUJARAT,RAJKOT,313713,63010
06-03-13,GUJARAT,SABAR KANTHA,404203,79532
06-03-13,GUJARAT,SURAT,263433,99412
06-03-13,GUJARAT,SURENDRANAGAR,241831,30352
06-03-13,GUJARAT,VADODARA,418851,90932
06-03-13,GUJARAT,VALSAD,215288,32482
06-03-13,HARYANA,AMBALA,112525,33638
06-03-13,HARYANA,BHIWANI,245761,50032
06-03-13,HARYANA,FARIDABAD,60315,32781
06-03-13,HARYANA,FATEHABAD,141266,46019
06-03-13,HARYANA,GURGAON,88013,53862
06-03-13,HARYANA,HISAR,221028,58862
06-03-13,HARYANA,JHAJJAR,134340,21036
06-03-13,HARYANA,JIND,187059,23244
06-03-13,HARYANA,KAITHAL,154438,29966
06-03-13,HARYANA,KARNAL,194003,46558
06-03-13,HARYANA,KURUKSHETRA,126220,31754
06-03-13,HARYANA,MAHENDRAGARH,145235,20940
06-03-13,HARYANA,MEWAT,137261,34064
06-03-13,HARYANA,PANCHKULA,42651,11832
06-03-13,HARYANA,PANIPAT,114922,27729
06-03-13,HARYANA,REWARI,126261,27389
06-03-13,HARYANA,ROHTAK,115506,26309
06-03-13,HARYANA,SIRSA,178789,93970
06-03-13,HARYANA,SONIPAT,180286,41480
06-03-13,HARYANA,YAMUNANAGAR,133009,26112
06-03-13,HIMACHAL PRADESH,BILASPUR,74661,21169
06-03-13,HIMACHAL PRADESH,CHAMBA,94574,15041
06-03-13,HIMACHAL PRADESH,HAMIRPUR,97893,28398
06-03-13,HIMACHAL PRADESH,KANGRA,316419,70611
06-03-13,HIMACHAL PRADESH,KINNAUR,19535,7582
06-03-13,HIMACHAL PRADESH,KULLU,84501,16182
06-03-13,HIMACHAL PRADESH,LAHAUL & SPITI,6695,5425
06-03-13,HIMACHAL PRADESH,MANDI,204051,46112
06-03-13,HIMACHAL PRADESH,SHIMLA,130864,27624
06-03-13,HIMACHAL PRADESH,SIRMAUR,84317,16831
06-03-13,HIMACHAL PRADESH,SOLAN,97237,26150
06-03-13,HIMACHAL PRADESH,UNA,99791,23077
06-03-13,JAMMU & KASHMIR,ANANTNAG,109465,63834
06-03-13,JAMMU & KASHMIR,BANDIPORA,47620,15488
06-03-13,JAMMU & KASHMIR,BARAMULLA,119791,91281
06-03-13,JAMMU & KASHMIR,BUDGAM,86083,55364
06-03-13,JAMMU & KASHMIR,DODA,72580,14150
06-03-13,JAMMU & KASHMIR,JAMMU,155851,43876
06-03-13,JAMMU & KASHMIR,KARGIL,15442,14156
06-03-13,JAMMU & KASHMIR,KATHUA,100283,13439
06-03-13,JAMMU & KASHMIR,KISHTWAR,41968,4699
06-03-13,JAMMU & KASHMIR,KULGAM,56316,25068
06-03-13,JAMMU & KASHMIR,KUPWARA,96737,40894
